site_code,year,trust_code,trust_name,trust_type,site_name,site_type,area_occupied_m2,volume_heated_m3,area_patient_m2,area_nonpatient_m2,consumed_gas_kwh,consumed_oil_kwh,consumed_coal_kwh,consumed_electricity_green_kwh,consumed_fuel_green_kwh,water_total_m3,waste_incineration_tonnes,waste_alternative_tonnes,waste_landfill_tonnes,waste_eee_tonnes,waste_recycling_tonnes,consumed_electricity_total_kwh,produced_electricity_green_kwh,waste_onsite_tonnes,waste_total_tonnes,occupied_area_m2,waste_total_index,waste_recycling_index,electricity_index,gas_index_vol,electricity_green_index
 REMAH,2021-01-01,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,BROADGREEN HOSPITAL,GENERAL ACUTE HOSPITAL,37780.4624,73626.0,23463.0,13175.0,28954577.0,0.0,0.0,0.0,0.0,75744.0,140.26000000000002,94.74,0.0,,49.44,1804225.0,0.0,0.0,284.44,36638.0,0.007763524209836782,0.0013494186363884491,49.24463671597795,393.2656534376443,0.0
R0A01,2018-01-01,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,ISLAND SITE,GENERAL ACUTE HOSPITAL,206153.0,523217.0,134000.0,72153.0,91897250.0,647991.0,0.0,0.0,0.0,314762.0,408.18,1648.81,1215.47,,427.78,52550565.0,0.0,,3700.24,206153.0,0.01794899904439906,0.002075060755846386,254.91050336400633,175.63888405766633,0.0
R0A01,2019-01-01,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,ISLAND SITE,GENERAL ACUTE HOSPITAL,206153.0,523216.0,133157.0,71312.0,87379819.0,542700.0,0.0,0.0,0.0,325351.0,1767.8,613.21,0.0,72.0,461.0,53671665.0,0.0,0.0,2842.01,204469.0,0.013899466422782917,0.0022546205048198016,262.49292068724355,167.00525022170575,0.0
R0A01,2020-01-01,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,ISLAND SITE,GENERAL ACUTE HOSPITAL,292119.0,823776.0,130449.0,82333.0,88643074.0,280800.0,0.0,0.0,0.0,346342.0,1896.6799999999998,641.63,0.0,,133.85,53112641.0,0.0,0.0,2672.16,212782.0,0.012558205111334604,0.0006290475698132361,249.61059206135857,107.60579817814552,0.0
R0A01,2021-01-01,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,ISLAND SITE,GENERAL ACUTE HOSPITAL,292119.0,823776.0,130449.0,82333.0,81656161.0,951087.0,0.0,51946318.0,0.0,270540.0,1692.71,825.9,0.0,,192.52,0.0,0.0,0.0,2711.13,212782.0,0.012741350302187215,0.0009047757799061951,0.0,99.12422915938313,244.12928725174123
R0A07,2018-01-01,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,WYTHENSHAWE HOSPITAL,GENERAL ACUTE HOSPITAL,122707.0,269699.0,76973.0,45734.0,30774838.0,0.0,0.0,0.0,9999550.0,200882.0,97.85,1544.1,0.0,,160.88,19469524.0,67805.0,,1802.83,122707.0,0.014692152851915538,0.0013110906468253645,158.666775326591,114.10809087167546,0.0
R0A07,2019-01-01,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,WYTHENSHAWE HOSPITAL,GENERAL ACUTE HOSPITAL,124998.0,275886.0,79164.0,45633.0,33617769.0,75600.0,0.0,0.0,0.0,198596.0,26.0,900.72,0.0,51.02,751.98,21096738.0,76766.0,0.0,1678.7,124797.0,0.013451445146918596,0.006025625616000385,169.04843866439097,121.85384180422348,0.0
R0A07,2020-01-01,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,WYTHENSHAWE HOSPITAL,GENERAL ACUTE HOSPITAL,123748.02,275886.0,79165.0,45632.0,39334764.0,32400.0,0.0,0.0,0.0,190297.0,793.47,895.15,0.0,,66.88,20770373.0,90927.0,0.0,1755.5,124797.0,0.014066844555558226,0.0005359103183570118,166.4332716331322,142.5761510188991,0.0
R0A07,2021-01-01,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,WYTHENSHAWE HOSPITAL,GENERAL ACUTE HOSPITAL,123748.02,275886.0,79165.0,45632.0,48012672.0,34528.0,0.0,11681197.0,0.0,169544.0,673.51,802.03,0.0,,131.59,0.0,81631.0,0.0,1607.1299999999999,124797.0,0.012877953796966272,0.0010544323982147007,0.0,174.03083882473194,93.60158497399777
R0A09,2018-01-01,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,TRAFFORD GENERAL HOSPITAL,GENERAL ACUTE HOSPITAL,55273.0,140283.0,33164.0,22109.0,15003559.0,21877.0,0.0,0.0,0.0,53191.0,197.18,185.9,0.82,,130.81,5841726.0,0.0,,514.71,55273.0,0.009312141551933132,0.002366616612089085,105.68860022072259,106.95208257593579,0.0
R0A09,2019-01-01,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,TRAFFORD GENERAL HOSPITAL,GENERAL ACUTE HOSPITAL,51211.0,129974.0,33287.0,17924.0,12878426.0,237654.0,0.0,0.0,0.0,47264.0,178.0,0.0,0.0,2.7,130.0,5692104.0,0.0,0.0,308.0,51211.0,0.006014332858175001,0.002538517115463475,111.15002636152389,99.0846323110776,0.0
R0A09,2020-01-01,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,TRAFFORD GENERAL HOSPITAL,GENERAL ACUTE HOSPITAL,46818.0,132027.0,33164.0,13654.0,12214869.0,29376.0,0.0,0.0,0.0,52024.0,118.72,59.0,0.0,,46.47,5670572.0,0.0,0.0,224.19,46818.0,0.004788542868127643,0.0009925669614250928,121.119483959161,92.51796223499738,0.0
R0A09,2021-01-01,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,TRAFFORD GENERAL HOSPITAL,GENERAL ACUTE HOSPITAL,46818.0,132027.0,33164.0,13654.0,14094931.0,11161.0,0.0,4883742.0,0.0,39048.0,119.3,80.46,0.0,,60.45,0.0,0.0,0.0,260.21,46818.0,0.0055579050792430255,0.0012911700627963605,0.0,106.7579434509608,104.31334102268359
R0B01,2020-01-01,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST ,ACUTE - LARGE,SUNDERLAND ROYAL HOSPITAL,GENERAL ACUTE HOSPITAL,123730.2066,305451.0,96922.0,26927.0,45213852.0,152134.0,0.0,0.0,0.0,195746.0,324.43,74.0,0.0,,453.0,7917626.0,0.0,0.0,851.4300000000001,123849.0,0.0068747426301383145,0.0036576799166727226,63.92967242367722,148.02325741280924,0.0
R0B01,2021-01-01,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST ,ACUTE - LARGE,SUNDERLAND ROYAL HOSPITAL,GENERAL ACUTE HOSPITAL,125398.0,305451.0,96922.0,26927.0,51888460.0,333293.0,0.0,4481244.0,0.0,174354.0,331.4,318.2,0.0,,329.0,0.0,0.0,0.0,978.5999999999999,123849.0,0.007901557541845312,0.0026564606900338315,0.0,169.87490628611462,36.18312622629169
R0B0Q,2020-01-01,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST ,ACUTE - LARGE,SOUTH TYNESIDE DISTRICT HOSPITAL,GENERAL ACUTE HOSPITAL,45682.2216,109445.0,25976.0,19707.0,25744420.0,528434.0,0.0,0.0,0.0,91110.0,256.2,69.63,0.0,,97.58,3437637.0,0.0,0.0,423.40999999999997,45683.0,0.009268436836459951,0.0021360243416588226,75.24980846266664,235.2270089999543,0.0
R0B0Q,2021-01-01,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST ,ACUTE - LARGE,SOUTH TYNESIDE DISTRICT HOSPITAL,GENERAL ACUTE HOSPITAL,53771.0,109445.0,25712.0,19545.0,27574665.0,173267.0,0.0,1863496.0,0.0,161525.0,206.68,162.87,0.0,,68.66,0.0,0.0,0.0,438.21000000000004,45257.0,0.009682701018626954,0.0015171133747265615,0.0,251.949974873224,41.17586229754513
R0D01,2021-01-01,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,ACUTE - TEACHING,POOLE HOSPITAL,GENERAL ACUTE HOSPITAL,85432.0,192718.0,46586.0,19779.0,27746368.0,30510.0,0.0,0.0,0.0,130345.0,468.0,251.0,0.0,,114.0,2584838.0,0.0,0.0,833.0,66365.0,0.012551796880886009,0.0017177729224741958,38.94881338054697,143.9739308211999,0.0
R0D02,2021-01-01,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,ACUTE - TEACHING,ROYAL BOURNEMOUTH HOSPITAL,GENERAL ACUTE HOSPITAL,78520.72,257193.0,57512.0,15747.0,11958496.0,66400.0,0.0,0.0,0.0,102465.0,556.0,407.0,0.0,,89.0,12323012.0,86261.0,0.0,1052.0,73259.0,0.014360010374151981,0.001214867797813238,168.21157809961915,46.49619546410672,0.0
R1ALJ,2015-01-01,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,KIDDERMINSTER GENERAL HOSPITAL,GENERAL ACUTE HOSPITAL,3855.0,10782.0,2010.0,1845.0,751649.0,0.0,0.0,0.0,0.0,5622.0,1.0,0.0,17.0,0.0,12.0,267318.0,,,30.0,3855.0,0.007782101167315175,0.0031128404669260703,69.3431906614786,69.71331849378593,0.0
R1ALK,2015-01-01,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,NEWTOWN HOSPITAL,GENERAL ACUTE HOSPITAL,5157.0,17463.0,2839.0,2235.0,3743416.0,0.0,0.0,0.0,0.0,39455.0,0.99,0.0,30.86,0.0,22.2,526775.0,,,54.05,5074.0,0.010652345289712258,0.004375246353961372,103.81848640126134,214.3627097291416,0.0
R1F01,2014-01-01,R1F,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,ST MARY'S HOSPITAL,GENERAL ACUTE HOSPITAL,54906.0,141332.0,22341.0,30883.0,14131312.0,1558.0,0.0,0.0,0.0,86950.0,314.0,0.0,0.0,4.0,153.0,7152750.0,,,467.0,53224.0,0.008774237186231775,0.002874643018187284,134.38956110025552,99.98664138340928,0.0
