site_code,year,trust_code,trust_name,trust_type,site_name,site_type,area_occupied_m2,volume_heated_m3,area_patient_m2,area_nonpatient_m2,consumed_gas_kwh,consumed_oil_kwh,consumed_coal_kwh,consumed_electricity_green_kwh,consumed_fuel_green_kwh,water_total_m3,waste_incineration_tonnes,waste_alternative_tonnes,waste_landfill_tonnes,waste_eee_tonnes,waste_recycling_tonnes,consumed_electricity_total_kwh,produced_electricity_green_kwh,waste_onsite_tonnes,waste_total_tonnes,occupied_area_m2,waste_total_index,waste_recycling_index,electricity_index,gas_index_vol,electricity_green_index
R1A1P,2012-01-01,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MENTAL HEALTH AND LEARNING DISABILITY,EVESHAM COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,8762.0,24717.0,4376.0,3617.0,1788472.0,0.0,0.0,678190.0,0.0,10748.0,12.99,0.0,77.0,9.75,19.26,119681.0,,,109.25,7993.0,0.01366820968347304,0.002409608407356437,14.973226573251596,72.35797224582271,84.84799199299387
R1A1P,2013-01-01,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MENTAL HEALTH AND LEARNING DISABILITY,EVESHAM COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,8762.0,24717.0,4376.0,3617.0,2787396.0,0.0,0.0,0.0,0.0,9865.0,11.41,0.0,91.72,1.81,36.8,697058.0,,,139.93,7993.0,0.017506568247216314,0.0046040285249593395,87.20855748780183,112.7724238378444,0.0
R1A1P,2014-01-01,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,EVESHAM COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,8475.0,24717.0,4089.0,3617.0,2866240.0,0.0,0.0,0.0,0.0,8577.0,10.61,0.0,71.67,0.57,17.85,826008.0,,,100.13,7706.0,0.012993771087464313,0.002316376849208409,107.19024137036075,115.96229315855484,0.0
R1A1P,2015-01-01,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,EVESHAM COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,7464.0,18776.0,3528.0,3430.0,2391544.0,0.0,0.0,797061.0,0.0,8328.0,13.38,0.0,84.99,0.0,37.08,0.0,,,135.45,6958.0,0.019466800804828974,0.005329117562517965,0.0,127.37239028547081,114.5531762000575
R1A1P,2016-01-01,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,EVESHAM COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,8411.0,25910.0,5434.0,2977.0,2625761.0,0.0,0.0,785272.0,0.0,11902.0,6.69,15.21,64.37,,42.945,0.0,,,129.215,8411.0,0.01536262037807633,0.005105813815241945,0.0,101.34160555769974,93.36250148614909
R1A1P,2017-01-01,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,EVESHAM COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,8411.0,25910.0,5434.0,2977.0,2460506.0,0.0,0.0,0.0,0.0,11905.0,0.0,30.42,43.75,,48.81,701095.0,,,122.98,8411.0,0.014621329211746524,0.005803114968493639,83.35453572702413,94.96356619065998,0.0
R1A1P,2018-01-01,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,EVESHAM COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,8606.0,25910.0,4900.0,3491.0,2632585.0,0.0,0.0,5958.0,119173.0,10867.0,43.68,31.27,3.0,,112.0,536942.0,0.0,,189.95,8391.0,0.022637349541175068,0.013347634370158503,63.99022762483614,101.60497877267464,0.7100464783696818
R1A1P,2019-01-01,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,EVESHAM COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,8821.0,25910.0,5492.0,3329.0,2293515.0,0.0,0.0,92351.0,108614.0,7707.0,96.33,0.0,0.0,0.56,33.84,379859.0,0.0,0.0,130.17000000000002,8821.0,0.014756830291350189,0.003836299739258588,43.063031402335334,88.51852566576612,10.469447908400408
R1A1P,2020-01-01,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,EVESHAM COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,9009.0,25910.0,5492.0,3329.0,2963692.0,0.0,0.0,171227.0,0.0,11839.0,105.74,0.0,0.53,,30.46,482312.0,0.0,0.0,136.73,8821.0,0.015500510146241922,0.0034531232286588824,54.677700940936404,114.38409880355076,19.41129123682122
R1A1P,2021-01-01,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,EVESHAM COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,9009.0,25910.0,5492.0,3329.0,2821360.0,0.0,0.0,184680.0,0.0,13348.0,221.37,0.0,1.0,,45.4,416883.0,0.0,0.0,267.77,8821.0,0.030355968711030492,0.0051468087518421945,47.260287949212106,108.89077576225395,20.936401768506972
R1AAN,2012-01-01,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MENTAL HEALTH AND LEARNING DISABILITY,TENBURY COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,1917.0,5902.0,1130.0,591.0,155362.0,0.0,0.0,198796.0,0.0,2041.0,18.85,0.0,26.99,0.0,3.03,35802.0,,,48.870000000000005,1721.0,0.028396281231841954,0.0017606042998256825,20.803021499128413,26.323619112165368,115.51191167925624
R1AAN,2013-01-01,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MENTAL HEALTH AND LEARNING DISABILITY,TENBURY COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,1917.0,5902.0,1130.0,591.0,155362.0,0.0,0.0,0.0,0.0,1924.0,2.44,0.0,16.57,0.0,3.65,152221.0,,,22.66,1721.0,0.01316676350958745,0.0021208599651365485,88.4491574665892,26.323619112165368,0.0
R1AAN,2014-01-01,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,TENBURY COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,1969.0,5902.0,1182.0,591.0,799704.0,0.0,0.0,0.0,0.0,1953.0,1.93,0.0,17.4,0.0,4.4,215398.0,,,23.729999999999997,1773.0,0.013384094754653129,0.002481669486745629,121.4878736604625,135.49711962046763,0.0
R1AAN,2015-01-01,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,TENBURY COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,1688.0,4286.0,1077.0,611.0,685358.0,0.0,0.0,196615.0,0.0,1509.0,2.0,0.0,12.0,0.0,5.0,0.0,,,19.0,1688.0,0.011255924170616114,0.002962085308056872,0.0,159.90620625291646,116.47808056872037
R1AAN,2016-01-01,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,TENBURY COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,1776.0,4510.0,1101.0,675.0,785234.0,0.0,0.0,211740.0,0.0,1131.0,1.0,4.06,9.26,,3.725,0.0,,,18.045,1776.0,0.010160472972972973,0.00209740990990991,0.0,174.10953436807097,119.22297297297297
R1AAN,2017-01-01,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,TENBURY COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,1776.0,4510.0,1101.0,675.0,778380.0,0.0,0.0,0.0,0.0,1131.0,0.0,8.12,6.52,,2.45,204170.0,,,17.09,1776.0,0.009622747747747748,0.0013795045045045045,114.96058558558559,172.58980044345898,0.0
R1AAN,2018-01-01,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,TENBURY COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,1776.0,4510.0,1151.0,625.0,818720.0,0.0,0.0,1918.0,38358.0,1334.0,17.88,3.19,0.0,,2.33,164231.0,0.0,,23.4,1776.0,0.013175675675675675,0.001311936936936937,92.47240990990991,181.53436807095343,1.079954954954955
R1AAN,2019-01-01,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,TENBURY COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,1919.0,4510.0,1321.0,598.0,710565.0,0.0,0.0,29296.0,34454.0,438.0,4.48,0.0,0.0,0.0,2.47,120498.0,0.0,0.0,6.950000000000001,1919.0,0.0036216779572694115,0.0012871287128712872,62.79207920792079,157.55321507760533,15.26628452318916
