Organisation Code,Organisation Name,Commissioning Region,Organisation Type,Site Code,Site Name,Site Type,Gross internal site floor area (m²),Occupied floor area (m²),NHS estate Occupied Floor Area (%),Site Heated Volume (m³),Site footprint (m²),Site land area (Hectare),Patient occupied floor area (m²),Non-patient occupied floor area (m²),Not functionally suitable (%),Un-utilised Space (%),Available beds (No.),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Occupied beds (No.),Age Profile - 2005 to present (%),Age Profile - 1995 to 2004 (%),Age Profile - 1985 to 1994 (%),Age Profile - 1975 to 1984 (%),Age Profile - 1965 to 1974 (%),Age Profile - 1955 to 1964 (%),Age Profile - 1948 to 1954 (%),Age Profile - pre 1948 (%),Age Profile - Total (must equal 100%) (%),Cost to eradicate High Risk Backlog (£),Cost to eradicate Significant Risk Backlog (£),Cost to eradicate Moderate Risk Backlog (£),Cost to eradicate Low Risk Backlog (£),Risk Adjusted Backlog Cost (£),Number of CHP units operated on the site (No.),Total full load rating of the electrical generator plant (kW),Total fossil energy input to the CHP system/s (kWh),Total thermal energy output of the CHP system/s (kWh),Total electrical energy output of the CHP system/s (kWh),Total exported electricity for the site (kWh),Total exported thermal energy for the site (kWh),Electricity Consumed - Utility (kWh),Gas Consumed - Utility (kWh),Oil  Consumed - Utility (kWh),Coal Consumed - Utility (kWh),Electricity Consumed - Local (kWh),Steam Consumed - Local (kWh),Hot Water Consumed - Local (kWh),Electricity Consumed - Renewable (kWh),Non-fossil fuel Consumed - Renewable (kWh),"Total Energy Cost (all energy supplies, utility, local & renewable) (£)",Water volume (including Borehole) (m³),Water and Sewage Cost (£),High Temperature Disposal Waste Weight (Tonnes),High Temperature Disposal Waste Cost (£),Total Waste Cost (£),Non Burn Treatment (Alternative Treatment Plant) Disposal Waste Weight (Tonnes),Landfill Disposal Waste Weight (Tonnes),Waste Electrical and Electronic Equipment (WEEE) Weight (Tonnes),Waste Electrical and Electronic Equipment (WEEE) Cost (£),Waste recovery/recycling volume (%),Waste recovery/recycling cost (%),Visitor/Staff concession scheme provided (Yes/No),Total parking spaces available (No.),Average fee charged per hour for patient/visitor parking (£),Total disabled parking spaces (No.),Total parking spaces available for patients/visitors (No.),Average fee charged per hour for Staff parking (£),Total parking spaces available for staff (No.)
5A3,SOUTH GLOUCESTERSHIRE PCT,SOUTH WEST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,9918.00,9918.00,100.00,26027.00,9918.00,3.10,7335.00,2593.00,2.00,1.00,0.00,0.00,0.00,0.00,13.33,26.67,13.33,0.00,6.67,20.00,6.67,13.33,100.00,1000.00,3788.00,8420.00,1050.00,5023.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,817645.00,476061.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,145867.00,4198.00,11514.00,25.30,38487.00,73545.00,25.50,3.50,4.57,5125.00,100.00,21.00,No,428.00,0.00,21.00,163.00,0.00,244.00
5A4,HAVERING PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5A4HQ,ST GEORGE'S HOSPITAL,LONG STAY HOSPITAL,22050.00,18247.00,100.00,65709.00,15214.00,11.54,4837.00,13410.00,50.00,17.00,50.00,0.00,1.00,46.00,0.48,0.00,0.00,0.00,0.00,0.00,0.00,99.52,100.00,1561.00,710752.00,4411762.00,1071872.00,941889.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1440568.00,706881.00,7277354.00,0.00,0.00,0.00,0.00,0.00,0.00,552612.00,25107.00,15550.00,0.50,468.00,34530.00,9.36,261.48,1.10,454.00,19.00,11.00,No,432.00,0.00,14.00,215.00,0.00,217.00
5A4,HAVERING PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,15396.00,13087.00,40.00,44331.00,10380.00,4.80,7205.00,5882.00,35.00,15.00,0.00,0.00,0.00,0.00,32.90,3.20,0.71,36.50,8.72,0.00,3.86,14.11,100.00,2314.00,1457314.00,1542562.00,310128.00,731288.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1452159.00,2861523.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,316165.00,7573.00,15550.00,0.67,900.00,46166.00,12.20,169.30,0.32,220.00,5.80,1.90,No,280.00,0.00,30.00,135.00,0.00,145.00
5A7,BROMLEY PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,25787.00,20343.00,94.00,56563.00,18603.00,12.32,5814.00,15605.00,0.00,0.00,0.00,0.00,0.00,0.00,2.04,0.00,65.34,6.12,8.16,0.00,2.04,16.30,100.00,0.00,0.00,0.00,227324.00,227324.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4518.00,14498.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,251299.00,12996.00,33058.00,15.00,15000.00,136500.00,43.00,302.00,0.00,0.00,6.00,1.00,No,359.00,0.70,17.00,68.00,0.00,274.00
5A8,GREENWICH TEACHING PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,16048.00,16048.00,100.00,41725.00,9688.00,3.34,11826.00,4222.00,9.00,0.00,0.00,0.00,0.00,0.00,6.27,8.35,38.89,8.60,15.21,5.40,0.00,17.28,100.00,262172.00,512119.00,1304701.00,3344206.00,1034269.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1489182.00,2318017.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,281104.00,7399.00,28048.00,5.60,8866.00,60019.00,22.40,100.40,0.00,0.00,39.30,9.31,None,150.00,0.00,5.00,92.00,0.00,58.00
5A9,BARNET PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5A901,VALE DRIVE PRIMARY CARE CENTRE,TREATMENT CENTRE,2001.00,1845.00,100.00,4119.00,637.00,0.07,833.00,1012.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,166654.00,237903.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22128.00,597.00,1077.00,0.39,678.00,7545.00,2.16,8.84,0.00,0.00,43.00,19.30,No,23.00,0.00,1.00,0.00,0.00,23.00
5A9,BARNET PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5A909,EDGWARE COMMUNITY HOSPITAL,LONG STAY HOSPITAL,36750.00,33275.00,100.00,79657.00,15503.00,6.20,16031.00,16317.00,0.00,0.00,37.00,17.00,0.00,33.00,38.28,3.44,0.00,0.36,0.00,3.01,0.70,54.21,100.00,83000.00,319200.00,182675.00,213260.00,427184.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4674978.00,8569893.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,522826.00,39972.00,62340.00,2.70,2213.00,42506.00,24.70,163.28,2.80,0.00,13.00,12.26,No,505.00,1.00,20.00,114.00,0.00,355.00
5A9,BARNET PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5A910,FINCHLEY MEMORIAL HOSPITAL,LONG STAY HOSPITAL,7444.00,6951.00,100.00,15360.00,5168.00,1.73,2779.00,4474.00,0.00,1.87,56.00,0.00,4.00,51.00,0.00,7.65,7.53,0.00,21.63,24.17,0.00,39.02,100.00,0.00,220000.00,60000.00,0.00,280000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,638941.00,2684144.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,101223.00,12594.00,19392.00,1.40,1186.00,21284.00,10.68,49.58,0.00,0.00,36.00,14.00,No,76.00,0.00,3.00,36.00,0.00,40.00
5A9,BARNET PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5A914,MARIE FOSTER CENTRE,LONG STAY HOSPITAL,1312.00,1288.00,100.00,3016.00,1312.00,1.00,742.00,545.00,0.00,0.00,14.00,0.00,10.00,9.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,15875.00,37950.00,16500.00,70325.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98525.00,409569.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17466.00,944.00,1969.00,0.68,984.00,7590.00,2.80,11.24,0.00,0.00,37.50,15.00,No,14.00,0.00,2.00,7.00,0.00,7.00
5A9,BARNET PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,10508.00,10302.00,100.00,23277.00,7780.00,2.00,4402.00,7442.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.30,16.40,34.40,13.00,13.90,100.00,1000000.00,213005.00,262905.00,452225.00,1414142.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,628222.00,1750017.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,110261.00,3275.00,6354.00,3.85,9480.00,45158.00,12.00,39.16,0.00,0.00,42.00,8.30,No,175.00,0.00,6.00,55.00,0.00,120.00
5AT,HILLINGDON PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,14545.00,14019.00,76.34,30552.00,6227.00,3.10,0.00,0.00,20.00,14.00,22.00,0.00,0.00,10.00,0.00,12.00,25.00,25.00,15.00,18.00,0.00,5.00,100.00,0.00,0.00,0.00,500000.00,25000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1070748.00,22594.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,401897.00,9822.00,19959.00,60.00,15600.00,65000.00,0.00,159.00,3.50,5000.00,0.00,0.00,Yes,985.00,2.60,43.00,328.00,0.00,0.00
5C1,ENFIELD PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C150,ST MICHAEL'S HOSPITAL,LONG STAY HOSPITAL,5226.00,4399.00,100.00,10734.00,4083.00,2.53,2068.00,2067.00,25.00,2.00,26.00,11.00,5.00,22.00,0.00,28.00,0.00,66.00,6.00,0.00,0.00,0.00,100.00,0.00,1000.00,64550.00,20200.00,5955.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2073.00,6258.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,141536.00,4134.00,12190.00,0.00,0.00,15830.00,3.30,0.00,0.00,0.00,0.00,0.00,No,135.00,0.00,14.00,121.00,0.00,121.00
5C1,ENFIELD PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C199,CHASE FARM HOSPITAL SITE,LONG STAY HOSPITAL,2042.00,2042.00,100.00,4982.00,2144.00,2.12,1645.00,274.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,3000.00,104505.00,18530.00,6580.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1615.00,1519.00,3220.00,0.00,0.00,0.00,0.00,0.00,0.00,61041.00,4496.00,3929.00,0.00,0.00,12159.00,74.20,0.00,0.00,0.00,0.00,0.00,No,48.00,1.00,5.00,34.00,0.00,9.00
5C1,ENFIELD PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,10701.00,9331.00,17.00,22816.00,4295.00,0.89,5035.00,5242.00,50.00,50.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,25.00,42.00,4.00,0.00,11.00,100.00,0.00,22500.00,126450.00,24050.00,36665.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3941.00,4111.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,152288.00,3167.00,3715.00,12.57,15689.00,27408.00,0.00,0.00,0.00,0.00,0.00,0.00,No,150.00,0.00,11.00,85.00,0.00,63.00
5C2,BARKING AND DAGENHAM PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C217,GRAYS COURT,COMMUNITY HOSPITAL,3065.00,2881.00,0.00,8275.00,1486.00,0.42,2452.00,429.00,100.00,0.00,39.00,39.00,0.00,38.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,322161.00,371944.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43919.00,4481.00,7707.00,0.50,1391.00,13032.00,17.17,41.50,0.09,41.00,16.25,6.02,No,30.00,0.00,3.00,12.00,0.00,15.00
5C2,BARKING AND DAGENHAM PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,24526.00,21068.00,28.62,63085.00,10904.00,5.00,11513.00,9555.00,3.45,3.37,0.00,0.00,0.00,0.00,52.63,15.87,6.75,18.69,0.00,5.13,0.00,0.93,100.00,0.00,0.00,24000.00,25000.00,8300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2243083.00,2864583.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,399969.00,13643.00,25376.00,3.01,10930.00,43361.00,34.53,152.30,1.15,524.00,14.39,7.08,No,270.00,0.00,30.00,120.00,0.00,120.00
5C3,CITY AND HACKNEY TEACHING PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,31160.00,26165.00,79.00,71761.00,12150.00,3.29,17007.00,9158.00,5.00,5.00,0.00,0.00,0.00,0.00,9.00,12.87,7.28,5.34,9.49,0.00,17.20,38.82,100.00,0.00,207500.00,2101192.00,5952349.00,824452.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2573979.00,2316469.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,294000.00,0.00,0.00,0.00,0.00,195000.00,0.00,0.00,0.00,0.00,0.00,0.00,No,244.00,0.00,17.00,244.00,0.00,244.00
5C4,TOWER HAMLETS PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C401,"BARKANTINE CLINIC,  MELLISH STREET",TREATMENT CENTRE,519.00,519.00,100.00,1468.00,326.00,0.00,148.00,166.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60121.00,107658.00,0.00,0.00,0.00,0.00,0.00,20040.00,0.00,9124.00,121.00,369.00,0.67,153.00,1204.00,6.60,2.24,1.00,50.00,24.75,0.00,No,12.00,0.00,0.00,6.00,0.00,6.00
5C4,TOWER HAMLETS PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C402,BETHNAL GREEN HEALTH CENTRE 60 FLORIDA STREET,TREATMENT CENTRE,1264.00,1246.00,100.00,3738.00,586.00,0.15,864.00,342.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54254.00,19280.00,0.00,0.00,0.00,0.00,0.00,18085.00,0.00,5577.00,107.00,311.00,0.67,153.00,3541.00,3.85,2.24,1.00,50.00,67.04,0.00,No,15.00,0.00,0.00,0.00,0.00,15.00
5C4,TOWER HAMLETS PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C404,GILL STREET HEALTH CENTRE,TREATMENT CENTRE,1066.00,1066.00,100.00,2965.00,654.00,0.12,237.00,442.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,59.00,0.00,59.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25700.00,204284.00,0.00,0.00,0.00,0.00,0.00,12283.00,0.00,8081.00,622.00,1101.00,0.67,153.00,2985.00,4.29,2.24,1.00,50.00,31.72,0.00,No,16.00,0.00,0.00,2.00,0.00,14.00
5C4,TOWER HAMLETS PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5C405,LEOPOLD STREET CLINIC,TREATMENT CENTRE,387.00,387.00,100.00,1078.00,0.00,0.00,25.00,270.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,33000.00,1500.00,0.00,1029.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9229.00,101990.00,0.00,0.00,0.00,0.00,0.00,3076.00,0.00,4010.00,225.00,545.00,0.67,153.00,2131.00,3.30,2.24,1.00,50.00,72.15,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00
