Organisation Code,Organisation Name,Commissioning Region,Organisation Type,Site Code,Site Name,Site Type,Gross internal site floor area (m²),Occupied floor area (m²),NHS estate Occupied Floor Area (%),Site Heated Volume (m³),Site footprint (m²),Site land area (Hectare),Patient occupied floor area (m²),Non-patient occupied floor area (m²),Not functionally suitable (%),Un-utilised Space (%),Available beds (No.),Occupied beds (No.),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Age Profile - 2005 to present (%),Age Profile - 1995 to 2004 (%),Age Profile - 1985 to 1994 (%),Age Profile - 1975 to 1984 (%),Age Profile - 1965 to 1974 (%),Age Profile - 1955 to 1964 (%),Age Profile - 1948 to 1954 (%),Age Profile - pre 1948 (%),Age Profile - Total (must equal 100%) (%),Cost to eradicate High Risk Backlog (£),Cost to eradicate Significant Risk Backlog (£),Cost to eradicate Moderate Risk Backlog (£),Cost to eradicate Low Risk Backlog (£),Risk Adjusted Backlog Cost (£),Number of CHP units operated on the site (No.),Total full load rating of the electrical generator plant (kW),Total fossil energy input to the CHP system/s (kWh),Total thermal energy output of the CHP system/s (kWh),Total electrical energy output of the CHP system/s (kWh),Total exported electricity for the site (kWh),Total exported thermal energy for the site (kWh),Electricity Consumed - Utility (kWh),Gas Consumed - Utility (kWh),Oil Consumed - Utility (kWh),Coal Consumed - Utility (kWh),Electricity Consumed - Local (kWh),Steam Consumed - Local (kWh),Hot Water Consumed - Local (kWh),Electricity Consumed - Renewable (kWh),Non-fossil fuel Consumed - Renewable (kWh),"Total Energy Cost (all energy supplies, utility, local & renewable) (£)",Water volume (including Borehole) (m³),Water and Sewage Cost (£),High Temperature Disposal Waste Weight (Tonnes),High Temperature Disposal Waste Cost (£),Total Waste Cost (£),Non Burn Treatment (Alternative Treatment Plant) Disposal Waste Weight (Tonnes),Landfill Disposal Waste Weight (Tonnes),Waste Electrical and Electronic Equipment (WEEE) Weight (Tonnes),Waste Electrical and Electronic Equipment (WEEE) Cost (£),Waste recovery/recycling volume (Tonnes),Waste recovery/recycling cost (£),Visitor/Staff concession scheme provided (Yes/No),Total parking spaces available (No.),Average fee charged per hour for patient/visitor parking (£),Designated disabled parking spaces (No.),Designated parking spaces available for patients/visitors (No.),Average fee charged per hour for Staff parking (£),Designated parking spaces available for staff (No.)
5A3,SOUTH GLOUCESTERSHIRE PCT,SOUTH WEST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,9918.00,9918.00,100.00,26027.00,9918.00,3.10,7335.00,2593.00,2.00,1.00,0.00,0.00,0.00,0.00,13.33,26.67,13.33,0.00,6.67,20.00,6.67,13.33,100.00,1150.00,4356.00,9683.00,1207.00,5776.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,895483.00,1114197.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,183013.00,5235.00,21503.00,1.99,3405.00,22950.00,7.70,1.60,0.00,0.00,10.00,3547.00,No,428.00,0.00,21.00,163.00,0.00,244.00
5A4,HAVERING PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5A401,VICTORIA CENTRE,TREATMENT CENTRE,2979.00,2764.00,92.81,8114.00,1843.00,0.69,2211.00,553.00,0.00,7.20,0.00,0.00,0.00,0.00,0.00,16.52,0.00,0.00,9.60,0.00,4.57,69.31,100.00,1734.00,120641.00,596249.00,106672.00,155344.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,182381.00,661880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42968.00,2517.00,5313.00,0.56,635.00,5904.00,3.15,11.00,0.00,0.00,0.00,0.00,No,50.00,0.00,2.00,22.00,0.00,28.00
5A4,HAVERING PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5A403,CRANHAM HEALTH CENTRE,TREATMENT CENTRE,1100.00,1077.00,97.90,2200.00,537.00,0.15,862.00,215.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,81034.00,184124.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13535.00,472.00,1271.00,0.79,1417.00,3971.00,2.73,3.50,0.00,0.00,4.50,205.00,No,6.00,0.00,1.00,2.00,0.00,4.00
5A4,HAVERING PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5A405,HAROLD HILL HEALTH CENTRE,TREATMENT CENTRE,2560.00,2560.00,100.00,5120.00,1494.00,0.33,2048.00,512.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,266187.00,278184.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38202.00,1569.00,3311.00,0.79,1424.00,6128.00,2.79,7.91,0.00,0.00,2.08,687.00,No,25.00,0.00,4.00,12.00,0.00,13.00
5A4,HAVERING PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5A406,HAROLD WOOD CLINIC,TREATMENT CENTRE,507.00,507.00,100.00,1429.00,507.00,0.17,406.00,101.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,27974.00,186552.00,39526.00,35038.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25550.00,108153.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6757.00,630.00,1172.00,0.03,57.00,3810.00,1.38,13.42,0.00,0.00,1.12,222.00,No,29.00,0.00,3.00,11.00,0.00,17.00
5A4,HAVERING PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5A412,SOUTH HORNCHURCH HEALTH CENTRE,TREATMENT CENTRE,1394.00,1394.00,100.00,2788.00,671.00,0.19,1115.00,279.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,96289.00,138692.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14703.00,359.00,734.00,0.43,599.00,3087.00,2.73,3.50,0.00,0.00,0.50,182.00,No,18.00,0.00,3.00,7.00,0.00,11.00
5A4,HAVERING PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5A417,DISABLEMENT SERVICES CENTRE,TREATMENT CENTRE,3292.00,3292.00,41.62,11172.00,2545.00,1.14,1692.00,1600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,190.00,119843.00,126853.00,25503.00,60138.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,262980.00,592083.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50401.00,2449.00,4806.00,0.12,288.00,4744.00,3.46,9.00,0.00,0.00,2.50,707.00,No,67.00,0.00,16.00,37.00,0.00,30.00
5A4,HAVERING PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5A420,HAROLD WOOD POLYCLINIC,TREATMENT CENTRE,1859.00,1859.00,95.00,6506.00,930.00,0.64,900.00,959.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,187419.00,95037.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47496.00,1171.00,2499.00,0.12,205.00,4210.00,3.46,11.00,0.00,0.00,1.10,222.00,No,43.00,0.00,3.00,25.00,0.00,18.00
5A4,HAVERING PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5A4HQ,ST GEORGE'S HOSPITAL,LONG STAY HOSPITAL,21383.00,17400.00,96.98,67086.00,15214.00,11.74,8285.00,9115.00,0.00,20.70,48.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,1591.00,724967.00,4499996.00,1093309.00,960727.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1239579.00,721909.00,4032631.00,0.00,0.00,0.00,0.00,0.00,0.00,411467.00,8120.00,15146.00,0.90,488.00,59632.00,18.76,156.00,0.00,0.00,157.00,25644.00,No,432.00,0.00,14.00,215.00,0.00,217.00
5A4,HAVERING PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,1585.00,1463.00,92.30,4830.00,1291.00,0.46,1163.00,300.00,25.00,7.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,50.00,25.00,100.00,0.00,152594.00,382971.00,117928.00,170124.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82068.00,542058.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28738.00,723.00,1890.00,1.49,2901.00,10718.00,6.00,10.80,0.00,0.00,7.50,387.00,No,39.00,0.00,4.00,16.00,0.00,23.00
5A7,BROMLEY PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,25787.00,20343.00,94.00,56563.00,18603.00,12.00,5814.00,15605.00,0.00,0.00,0.00,0.00,0.00,0.00,2.04,0.00,65.34,6.12,8.16,0.00,2.04,16.30,100.00,0.00,28238.00,83684.00,140934.00,51995.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2279477.00,3470253.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,268031.00,10404.00,19468.00,12.80,15722.00,130587.00,50.40,302.00,0.00,0.00,0.00,0.00,No,359.00,0.70,17.00,68.00,0.00,274.00
5A8,GREENWICH TEACHING PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,10499.00,10499.00,100.00,24672.00,6588.00,1.10,7736.00,2763.00,9.00,0.00,0.00,0.00,0.00,0.00,10.00,21.00,0.00,40.00,18.00,0.00,11.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,860997.00,1261190.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,157149.00,3599.00,8441.00,5.30,5175.00,52500.00,3.60,120.00,0.00,0.00,26.00,2600.00,No,144.00,0.00,3.00,144.00,0.00,144.00
