Organisation Code,Organisation Name,Commissioning Region,Organisation Type,Site Code,Site Name,Site Type,Gross internal site floor area (m²),Occupied floor area (m²),NHS estate Occupied Floor Area (%),Site Heated Volume (m³),Site footprint (m²),Site land area (Hectare),Patient occupied floor area (m²),Non-patient occupied floor area (m²),Not functionally suitable - Occupied floor area (%),Not functionally suitable - Patient occupied floor area (%),Un-utilised Space (%),Available beds (No.),Occupied beds (No.),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Age Profile - 2005 to present (%),Age Profile - 1995 to 2004 (%),Age Profile - 1985 to 1994 (%),Age Profile - 1975 to 1984 (%),Age Profile - 1965 to 1974 (%),Age Profile - 1955 to 1964 (%),Age Profile - 1948 to 1954 (%),Age Profile - pre 1948 (%),Age Profile - Total (must equal 100%) (%),Cost to eradicate High Risk Backlog (£),Cost to eradicate Significant Risk Backlog (£),Cost to eradicate Moderate Risk Backlog (£),Cost to eradicate Low Risk Backlog (£),Risk Adjusted Backlog Cost (£),Number of CHP units operated on the site (No.),Total full load rating of the electrical generator plant (kW),Total fossil energy input to the CHP system/s (kWh),Total thermal energy output of the CHP system/s (kWh),Total electrical energy output of the CHP system/s (kWh),Total exported electricity for the site (kWh),Total exported thermal energy for the site (kWh),Electricity Consumed - Utility (kWh),Gas Consumed - Utility (kWh),Oil Consumed - Utility (kWh),Coal Consumed - Utility (kWh),Electricity Consumed - Local (kWh),Steam Consumed - Local (kWh),Hot Water Consumed - Local (kWh),Electricity Consumed - Renewable (kWh),Non-fossil fuel Consumed - Renewable (kWh),"Total Energy Cost (all energy supplies, utility, local & renewable) (£)",Water volume (including Borehole) (m³),Water and Sewage Cost (£),Total Waste Cost (£),High Temperature Disposal Waste Weight (Tonnes),Non Burn Treatment (Alternative Treatment Plant) Disposal Waste Weight (Tonnes),Landfill Disposal Waste Weight (Tonnes),Waste Electrical and Electronic Equipment (WEEE) Weight (Tonnes),Preparing for re-use volume (Tonnes),Other recovery volume (Tonnes),Waste recycling volume (Tonnes),"Waste recycling, recovery and preparing for re-use cost (£)",Patient/Visitor concession scheme provided (Yes/No),Total parking spaces available (No.),Designated parking spaces available for patients/visitors (No.),Designated disabled parking spaces (No.),Designated parking spaces available for staff (No.),Average fee charged per hour for patient/visitor parking (£),Average fee charged per hour for Staff parking (£),Do you charge for disabled parking (Yes/No/None),Cost of feeding one in-patient per day (patient meal day) (£),Ward food waste - unserved meals (%),Total in-patient main meals requested (No.),Gross cost of in-patient services (£)
5A4,HAVERING PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5A401,VICTORIA CENTRE,TREATMENT CENTRE,2979.00,2764.00,92.81,8114.00,1843.00,0.69,2211.00,553.00,0.00,0.00,7.20,0.00,0.00,0.00,0.00,0.00,16.52,0.00,0.00,9.60,0.00,4.57,69.31,100.00,1434.00,696941.00,507249.00,96672.00,127110.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,167560.00,898684.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92292.00,2300.00,3654.00,5603.00,0.56,3.15,11.00,0.00,0.00,0.00,1.10,222.00,No,50.00,22.00,2.00,28.00,0.00,0.00,No,0.00,0.00,0.00,0.00
5A4,HAVERING PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5A403,CRANHAM HEALTH CENTRE,TREATMENT CENTRE,1100.00,1077.00,97.90,2200.00,537.00,0.15,862.00,215.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86361.00,170949.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22454.00,472.00,1297.00,4050.00,0.79,2.73,3.50,0.00,0.00,0.00,4.50,205.00,No,6.00,2.00,1.00,4.00,0.00,0.00,No,0.00,0.00,0.00,0.00
5A4,HAVERING PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5A405,HAROLD HILL HEALTH CENTRE,TREATMENT CENTRE,2560.00,2560.00,100.00,5120.00,1494.00,0.33,2048.00,512.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,215000.00,304554.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50834.00,1749.00,3702.00,6251.00,0.79,2.79,7.91,0.00,0.00,0.00,2.08,687.00,No,25.00,12.00,4.00,13.00,0.00,0.00,No,0.00,0.00,0.00,0.00
5A4,HAVERING PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5A406,HAROLD WOOD CLINIC,TREATMENT CENTRE,507.00,507.00,100.00,1429.00,507.00,0.17,406.00,101.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,22974.00,176552.00,39526.00,32969.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23580.00,110116.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7333.00,630.00,1172.00,3960.00,0.03,1.38,13.42,0.00,0.00,0.00,1.12,222.00,No,29.00,11.00,3.00,17.00,0.00,0.00,No,0.00,0.00,0.00,0.00
5A4,HAVERING PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5A412,SOUTH HORNCHURCH HEALTH CENTRE,TREATMENT CENTRE,1394.00,1394.00,100.00,2788.00,671.00,0.19,1115.00,279.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,101519.00,176970.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25947.00,401.00,850.00,3149.00,0.43,2.73,3.50,0.00,0.00,0.00,0.50,182.00,No,18.00,7.00,3.00,11.00,0.00,0.00,No,0.00,0.00,0.00,0.00
5A4,HAVERING PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5A417,DISABLEMENT SERVICES CENTRE,TREATMENT CENTRE,3292.00,3292.00,41.62,11172.00,2545.00,1.14,1692.00,1600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,190.00,119843.00,126853.00,25503.00,60138.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,263683.00,801617.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94455.00,2200.00,4600.00,5003.00,0.12,3.46,9.00,0.00,0.00,0.00,2.50,707.00,No,67.00,37.00,16.00,30.00,0.00,0.00,No,0.00,0.00,0.00,0.00
5A4,HAVERING PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5A420,HAROLD WOOD POLYCLINIC,TREATMENT CENTRE,1859.00,1859.00,95.00,6506.00,930.00,0.64,900.00,959.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,223987.00,104044.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47286.00,1744.00,4218.00,4643.00,0.12,3.46,11.00,0.00,0.00,0.00,1.10,222.00,No,43.00,25.00,3.00,18.00,0.00,0.00,No,0.00,0.00,0.00,0.00
5A4,HAVERING PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5A4HQ,ST GEORGE'S HOSPITAL,LONG STAY HOSPITAL,21383.00,17400.00,96.98,67086.00,15214.00,11.74,8285.00,9115.00,0.00,0.00,20.70,48.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,1591.00,724967.00,4499996.00,1093309.00,960727.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1058619.00,616972.00,1050000.00,0.00,0.00,0.00,0.00,0.00,0.00,138789.00,5720.00,11777.00,30000.00,0.45,9.38,78.00,0.00,0.00,0.00,79.00,12822.00,No,432.00,215.00,14.00,217.00,0.00,0.00,No,4.99,0.00,18000.00,40000.00
5A4,HAVERING PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,1585.00,1463.00,92.30,4830.00,1291.00,0.46,1163.00,300.00,25.00,25.00,7.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,50.00,25.00,100.00,0.00,77594.00,332971.00,117928.00,131074.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55184.00,361569.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32047.00,576.00,1583.00,10932.00,1.49,6.00,10.80,0.00,0.00,0.00,7.50,387.00,No,39.00,16.00,4.00,23.00,0.00,0.00,No,0.00,0.00,0.00,0.00
5A8,GREENWICH TEACHING PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5A818,BEVAN INTERMEDIATE CARE UNIT,SPECIALIST HOSPITAL,700.00,700.00,100.00,1776.00,700.00,0.10,600.00,100.00,0.00,0.00,0.00,26.00,26.00,0.00,26.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72452.00,220154.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12456.00,1891.00,4022.00,2234.00,0.10,0.40,13.90,0.20,0.00,0.00,11.80,1180.00,No,6.00,6.00,2.00,6.00,0.00,0.00,No,6.90,1.00,28470.00,83481.00
