Organisation Code,Organisation Name,Commissioning Region,Organisation Type,Site Code,Site Name,Site Type,Gross internal site floor area (m²),Occupied floor area (m²),NHS estate occupied floor area (%),Site heated volume (m³),Site footprint (m²),Site land area (Hectare),Patient occupied floor area (m²),Non-patient occupied floor area (m²),Not functionally suitable - occupied floor area (%),Not functionally suitable - patient occupied floor area (%),Un-utilised space (%),Available beds (No.),Occupied beds (No.),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Age profile - 2005 to present (%),Age profile - 1995 to 2004 (%),Age profile - 1985 to 1994 (%),Age profile - 1975 to 1984 (%),Age profile - 1965 to 1974 (%),Age profile - 1955 to 1964 (%),Age profile - 1948 to 1954 (%),Age profile - pre 1948 (%),Age profile - total (must equal 100%) (%),Cost to eradicate high risk backlog (£),Cost to eradicate significant risk backlog (£),Cost to eradicate moderate risk backlog (£),Cost to eradicate low risk backlog (£),Risk adjusted backlog cost (£),Number of CHP units operated on the site (No.),Total full load rating of the electrical generator plant (kW),Total fossil energy input to the CHP system/s (kWh),Total thermal energy output of the CHP system/s (kWh),Total electrical energy output of the CHP system/s (kWh),Total exported electricity for the site (kWh),Total exported thermal energy for the site (kWh),Electricity consumed - utility (kWh),Gas consumed - utility (kWh),Oil consumed - utility (kWh),Coal consumed - utility (kWh),Electricity consumed - local (kWh),Steam consumed - local (kWh),Hot water consumed - local (kWh),Electricity consumed - renewable (kWh),Non-fossil fuel consumed - renewable (kWh),"Total energy cost (all energy supplies, utility, local and renewable) (£)",Water volume (including borehole) (m³),Water and sewage cost (£),High temperature disposal waste weight (Tonnes),Total waste cost (£),Non burn treatment (alternative treatment plant) disposal waste weight (Tonnes),Landfill disposal waste weight (Tonnes),Waste electrical and electronic equipment (WEEE) weight (Tonnes),Preparing for re-use volume (Tonnes),Other recovery volume (Tonnes),Waste recycling volume (Tonnes),"Waste recycling, recovery and preparing for re-use cost (£)",Patient/visitor concession scheme provided (Yes/No/None),Total parking spaces available (No.),Designated parking spaces available for patients/visitors (No.),Designated disabled parking spaces (No.),Designated parking spaces available for staff (No.),Average fee charged per hour for patient/visitor parking (£),Average fee charged per hour for Staff parking (£),Do you charge for disabled parking (Yes/No/None),Cost of feeding one in-patient per day (in-patient meal day) (£),Ward food waste - unserved meals (%),Total in-patient main meals requested (No.),Gross cost of in-patient services (£)
NAX,EAST COAST COMMUNITY HEALTHCARE C.I.C,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,INDEPENDENT SECTOR,NAX01,NORTHGATE HOSPITAL,COMMUNITY HOSPITAL,1160.00,1160.00,100.00,2900.00,1015.00,0.17,970.00,190.00,10.00,15.00,15.00,14.00,12.00,2.00,0.00,0.00,0.00,0.00,15.00,0.00,10.00,0.00,75.00,100.00,21494.00,71975.00,111353.00,192940.00,106074.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,123115.00,323542.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22200.00,669.00,1180.00,0.43,443.00,0.00,11.50,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00,No,6.70,2.50,22000.00,88387.00
NAX,EAST COAST COMMUNITY HEALTHCARE C.I.C,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,INDEPENDENT SECTOR,NAX03,BECCLES HOSPITAL,COMMUNITY HOSPITAL,2608.00,2244.00,100.00,7433.00,1720.00,1.47,1763.00,524.00,10.00,0.00,15.00,23.00,19.00,3.00,1.00,0.00,0.00,0.00,40.00,0.00,30.00,0.00,30.00,100.00,27632.00,39017.00,63294.00,221354.00,61067.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282827.00,963281.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52380.00,545.00,930.00,7.38,6118.00,10.00,15.80,0.00,0.00,0.00,0.00,0.00,No,109.00,109.00,8.00,109.00,0.00,0.00,No,4.50,2.50,34000.00,60178.00
NAX,EAST COAST COMMUNITY HEALTHCARE C.I.C,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,INDEPENDENT SECTOR,NAX05,PATRICK STEAD HOSPITAL,COMMUNITY HOSPITAL,1456.00,1456.00,100.00,3724.00,1096.00,0.79,1324.00,132.00,25.00,5.00,16.00,14.00,7.00,2.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,10.00,70.00,100.00,75838.00,108152.00,110132.00,192973.00,122035.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,161283.00,435648.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27508.00,1043.00,1559.00,3.44,3174.00,5.20,6.10,0.00,0.00,0.00,2.20,1600.00,No,31.00,31.00,3.00,0.00,0.00,0.00,No,4.50,2.50,15000.00,51275.00
NAX,EAST COAST COMMUNITY HEALTHCARE C.I.C,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,INDEPENDENT SECTOR,NAX06,SOUTHWOLD HOSPITAL,COMMUNITY HOSPITAL,1160.00,1160.00,100.00,2900.00,1015.00,0.17,970.00,190.00,10.00,15.00,2.00,12.00,10.00,3.00,2.00,0.00,0.00,0.00,15.00,0.00,10.00,0.00,75.00,100.00,21494.00,71975.00,111353.00,192940.00,106074.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84015.00,354356.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23400.00,856.00,1200.00,3.32,2895.00,0.00,6.80,0.00,0.00,0.00,0.00,0.00,None,0.00,0.00,0.00,0.00,0.00,0.00,No,4.50,2.50,18000.00,23064.00
NLY,CARE AND SUPPORT PARTNERSHIP (SEQOL),SOUTH OF ENGLAND COMMISSIONING REGION,INDEPENDENT SECTOR,AGGRE,AGGREGATE SITE,AGGREGATE SITE,2243.00,2243.00,40.00,6715.00,1935.00,0.32,1556.00,686.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,25.00,37.50,25.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,190730.00,140558.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72320.00,3372.00,11263.00,0.60,15281.00,13.00,16.66,0.00,0.00,0.00,4.00,2304.00,No,19.00,3.00,2.00,14.00,0.00,0.00,No,0.00,0.00,0.00,0.00
NLY,CARE AND SUPPORT PARTNERSHIP (SEQOL),SOUTH OF ENGLAND COMMISSIONING REGION,INDEPENDENT SECTOR,NLY04,SWINDON INTERMEDIATE CARE CENTRE,SHORT TERM NON-ACUTE HOSPITAL,2698.00,2698.00,100.00,6525.00,937.00,0.58,1981.00,717.00,0.00,0.00,0.00,60.00,51.00,20.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,567070.00,384092.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61272.00,6333.00,10440.00,1.10,25425.00,23.63,27.71,0.00,0.00,0.00,10.27,6082.00,No,130.00,64.00,6.00,60.00,0.93,0.93,No,10.29,1.00,18433.00,189676.00
NNV,YOUR HEALTHCARE,LONDON COMMISSIONING REGION,INDEPENDENT SECTOR,AGGRE,AGGREGATE SITE,AGGREGATE SITE,2168.00,2154.00,0.00,5153.00,1599.00,0.80,637.00,1352.00,0.00,0.00,0.00,8.00,0.00,0.00,8.00,0.00,25.00,0.00,25.00,50.00,0.00,0.00,0.00,100.00,0.00,255310.00,103256.00,40179.00,198040.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,151252.00,459789.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28500.00,1722.00,6294.00,0.41,6614.00,10.62,13.70,0.21,0.00,0.00,13.86,1439.00,No,59.00,59.00,8.00,59.00,0.00,0.00,No,0.00,0.00,0.00,0.00
NNV,YOUR HEALTHCARE,LONDON COMMISSIONING REGION,INDEPENDENT SECTOR,NNV05,TOLWORTH HOSPITAL,COMMUNITY HOSPITAL,4747.00,4747.00,100.00,14241.00,2608.00,1.18,3997.00,750.00,0.00,0.00,0.00,47.00,47.00,0.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,48279.00,618044.00,33317.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,323327.00,1125927.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,144925.00,1376.00,4612.00,3899.00,4105.00,3.49,2.33,0.00,0.00,7.83,4.56,2341.00,No,96.00,96.00,3.00,0.00,0.00,0.00,No,9.54,1.20,49865.00,272341.00
NQ7,MEDWAY COMMUNITY HEALTHCARE,SOUTH OF ENGLAND COMMISSIONING REGION,INDEPENDENT SECTOR,AGGRE,AGGREGATE SITE,AGGREGATE SITE,11218.00,10456.00,100.00,23011.00,5562.00,0.68,5252.00,5932.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.00,1.00,30.00,13.00,5.00,0.00,0.00,2.00,100.00,11505.00,74500.00,9800.00,0.00,86245.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,786719.00,1905308.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,162923.00,6553.00,20456.00,6.27,22016.00,4.11,25.31,0.83,0.00,39.14,38.03,9205.00,No,384.00,130.00,0.00,212.00,0.00,0.00,No,5.00,0.00,5475.00,26991.00
NQ7,MEDWAY COMMUNITY HEALTHCARE,SOUTH OF ENGLAND COMMISSIONING REGION,INDEPENDENT SECTOR,NQ703,DARLAND HOUSE NURSING HOME,LONG STAY HOSPITAL,2236.00,2080.00,100.00,4993.00,1177.00,0.56,1249.00,345.00,0.00,0.00,0.00,40.00,39.00,40.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,55000.00,125000.00,30000.00,0.00,180625.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,159864.00,425955.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36081.00,3079.00,10296.00,1.35,6637.00,0.13,18.18,0.32,0.00,17.68,5.91,2892.00,No,22.00,11.00,1.00,10.00,0.00,0.00,No,6.74,0.00,14600.00,98368.00
