Organisation Code,Organisation Name,Commissioning Region,Organisation Type,Site Code,Site Name,Site Type,Hard FM (Estates) costs (£),Soft FM (Hotel Services) costs (£),Estates and facilities finance costs (£),Maintenance service costs (£),Income received for area leased out for retail sales (£),Area leased out for retail sales (m²),Income from services provided to other organisations (£),Gross internal site floor area (m²),Occupied floor area (m²),NHS estate occupied floor area (%),Site heated volume (m³),Building footprint (m²),Site land area (Hectare),Patient occupied floor area (m²),Non-patient occupied floor area (m²),Not functionally suitable - occupied floor area (%),Not functionally suitable - patient occupied floor area (%),Un-utilised space (%),Available beds (No.),Occupied beds (No.),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Age profile - 2015 to present (%),Age profile - 2005 to 2014 (%),Age profile - 1995 to 2004 (%),Age profile - 1985 to 1994 (%),Age profile - 1975 to 1984 (%),Age profile - 1965 to 1974 (%),Age profile - 1955 to 1964 (%),Age profile - 1948 to 1954 (%),Age profile - pre 1948 (%),Age profile - total (must equal 100%) (%),Cost to eradicate high risk backlog (£),Cost to eradicate significant risk backlog (£),Cost to eradicate moderate risk backlog (£),Cost to eradicate low risk backlog (£),Risk adjusted backlog cost (£),CHP units operated on the site (No.),Full load rating of the electrical generator plant (kW),Fossil energy input to the CHP system/s (kWh),Thermal energy output of the CHP system/s (kWh),Electrical energy output of the CHP system/s (kWh),Exported electricity (kWh),Exported thermal energy (kWh),Energy cost (all energy supplies) (£),Electricity consumed - utility (kWh),Gas consumed - utility (kWh),Oil  consumed - utility (kWh),Coal consumed - utility (kWh),Electricity consumed - local (kWh),Steam consumed - local (kWh),Hot water consumed - local (kWh),Electricity consumed - renewable (kWh),Non-fossil fuel consumed - renewable (kWh),Water and sewage cost (£),Water volume (including borehole) (m³),Waste cost (£),Preparing for re-use volume (Tonnes),Waste recycling volume (Tonnes),Other recovery volume (Tonnes),High temperature disposal waste weight (Tonnes),High temperature disposal waste weight involving combustion with energy recovery (Tonnes),Non burn treatment (alternative treatment plant) disposal waste weight (Tonnes),Landfill disposal waste weight (Tonnes),Waste electrical and electronic equipment (WEEE) weight (Tonnes),Parking spaces available (No.),Designated disabled parking spaces (No.),Average fee charged per hour for patient/visitor parking (£),Average fee charged per hour for staff parking (£),Do you charge for disabled parking (Yes/No/None),Cleaning service cost (£),Cleaning staff (WTE),In-patient food services cost (£),In-patient main meals requested (No.),Cost of feeding one in-patient per day (in-patient meal day) (£),Laundry and linen service cost (£),Pieces per annum (No.),Portering (internal patient transport) service cost (£),Portering staff (WTE),Occupied floor area (m²),Occupied beds (No.),PFI Unitary charges (£),Hard FM (Estates) costs (£),Soft FM (Hotel  Services) costs (£),Maintenance service costs (£),Energy cost (all energy supplies) (£),Energy consumed (all energy supplies) (kWh),Waste cost (£),Waste disposal weight (Tonnes),Cost of in-patient food services (£),In-patient main meals requested (No.),Cleaning services costs (£),Number of cleaning staff (No.),Laundry and linen service cost (£),Laundry and linen pieces per annum (No.),Portering (internal patient transport) service cost (£),Number of Portering (internal patient transport) staff (WTE)
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,AGGRE,AGGREGATE SITE,AGGREGATE SITE,6157887.00,481448.00,2321282.00,130581.00,0.00,0.00,171838.00,20410.00,19305.00,33.89,50520.00,16091.00,3.75,7032.00,12851.00,25.36,26.25,2.92,0.00,0.00,0.00,0.00,0.00,21.77,8.06,8.02,7.61,30.91,8.37,0.31,14.95,100.00,0.00,192999.00,1951630.00,1265978.00,374458.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,297566.00,222702.00,2714082.00,24630.00,0.00,0.00,0.00,0.00,946879.00,0.00,41939.00,9820.00,75345.00,0.00,87.54,0.00,10.76,0.00,0.00,161.25,1.68,897.00,69.00,1.00,0.00,No,457815.00,21.95,0.00,0.00,0.00,2748.00,1965.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1A1P,EVESHAM COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,2349398.00,647483.00,674081.00,122421.00,0.00,0.00,298006.00,7990.00,7464.00,89.00,18776.00,9313.00,3.07,3528.00,3430.00,52.52,49.22,5.85,65.00,56.00,4.00,12.00,0.00,0.00,2.35,0.00,0.00,8.50,0.00,0.00,89.15,100.00,0.00,1359897.00,1587388.00,1066773.00,1515993.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,153364.00,0.00,2391544.00,0.00,0.00,0.00,0.00,0.00,797061.00,0.00,21063.00,8328.00,47200.00,0.00,37.08,0.00,13.38,0.00,0.00,84.99,0.00,259.00,13.00,1.16,0.00,Yes,383414.00,14.41,182459.00,62836.00,7.73,65860.00,192073.00,15483.00,0.89,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1A22,KEITH WINTER CLOSE MH UNIT,SHORT TERM NON-ACUTE HOSPITAL,218367.00,36347.00,66585.00,11378.00,0.00,0.00,0.00,697.00,697.00,100.00,1638.00,440.00,0.74,607.00,90.00,65.00,65.00,0.00,12.00,8.00,0.00,15.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,34572.00,29685.00,2008.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12077.00,0.00,172791.00,0.00,0.00,0.00,0.00,0.00,39885.00,0.00,1804.00,775.00,888.00,0.00,2.00,0.00,0.00,0.00,0.00,3.00,0.00,15.00,0.00,0.00,0.00,No,33043.00,1.49,14438.00,10855.00,4.00,0.00,0.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1A49,HILL CREST MH UNIT,SHORT TERM NON-ACUTE HOSPITAL,752644.00,204705.00,178559.00,39218.00,0.00,0.00,0.00,2295.00,2295.00,100.00,5393.00,2084.00,1.67,1420.00,754.00,10.00,10.00,0.00,18.00,16.00,4.00,4.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,16202.00,463.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44166.00,301955.00,474195.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3836.00,1584.00,3217.00,0.00,5.00,0.00,0.00,0.00,0.00,7.00,0.00,40.00,4.00,0.00,0.00,No,82558.00,4.40,107592.00,18111.00,17.82,5497.00,14555.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1AAN,TENBURY COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,614335.00,214663.00,145602.00,31019.00,0.00,0.00,30577.00,1824.00,1688.00,95.00,4286.00,1862.00,0.57,1077.00,611.00,5.00,5.00,7.00,16.00,13.00,3.00,0.00,0.00,29.13,0.00,0.00,0.00,0.00,0.00,70.87,0.00,100.00,0.00,4734.00,170044.00,113379.00,21406.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48588.00,0.00,685358.00,0.00,0.00,0.00,0.00,0.00,196615.00,0.00,4531.00,1509.00,3527.00,0.00,5.00,0.00,2.00,0.00,0.00,12.00,0.00,50.00,5.00,0.00,0.00,No,87081.00,3.04,111910.00,14263.00,22.37,15672.00,47806.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1AAV,CROMWELL HOUSE,SHORT TERM NON-ACUTE HOSPITAL,136366.00,30375.00,41620.00,7104.00,0.00,0.00,0.00,436.00,436.00,100.00,1025.00,171.00,0.05,416.00,22.00,0.00,0.00,0.00,10.00,8.00,0.00,10.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10058.00,0.00,132173.00,0.00,0.00,0.00,0.00,0.00,40689.00,0.00,2264.00,848.00,284.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,5.00,1.00,0.00,0.00,No,27614.00,1.29,15118.00,11366.00,4.35,0.00,0.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1ACG,PRINCESS OF WALES HOSPITAL,SHORT TERM NON-ACUTE HOSPITAL,3109015.00,963237.00,1315789.00,326898.00,0.00,0.00,16815.00,9716.00,9716.00,85.00,22833.00,8731.00,4.84,4819.00,4189.00,2.97,2.58,0.00,84.00,72.00,32.00,20.00,0.00,10.23,0.00,84.91,1.31,2.30,1.25,0.00,0.00,100.00,0.00,4192.00,419336.00,325246.00,47859.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,232840.00,0.00,3515286.00,0.00,0.00,0.00,0.00,0.00,1689167.00,0.00,14708.00,6142.00,15549.00,0.00,14.86,0.00,7.36,0.00,0.00,59.32,0.00,329.00,24.00,1.16,0.00,Yes,538693.00,14.90,346161.00,58271.00,15.11,74609.00,216265.00,3774.00,0.21,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1ACW,PERSHORE HOSPITAL,COMMUNITY HOSPITAL,1064477.00,248768.00,529981.00,55498.00,0.00,0.00,0.00,1821.00,1821.00,0.00,4279.00,1448.00,0.14,1065.00,724.00,0.00,0.00,0.00,26.00,22.00,10.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,7179.00,359.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44437.00,0.00,427281.00,0.00,0.00,0.00,0.00,0.00,185172.00,0.00,4761.00,1637.00,7487.00,0.00,5.13,0.00,2.26,0.00,0.00,7.99,0.00,15.00,2.00,1.00,0.00,Yes,107755.00,3.26,107050.00,24006.00,13.38,30236.00,85862.00,3727.00,0.21,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1ACY,OSBORNE COURT,SHORT TERM NON-ACUTE HOSPITAL,695768.00,12021.00,127287.00,36254.00,0.00,0.00,0.00,2109.00,1778.00,100.00,4956.00,2394.00,1.20,1059.00,719.00,15.00,0.00,16.00,10.00,9.00,0.00,21.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,58918.00,159182.00,8178.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35858.00,0.00,516916.00,0.00,0.00,0.00,0.00,0.00,124123.00,0.00,4767.00,1838.00,5615.00,0.00,4.82,0.00,0.00,0.00,0.00,0.00,0.00,53.00,3.00,0.00,0.00,No,9273.00,0.58,23480.00,17680.00,4.39,2748.00,15061.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1ADC,MALVERN COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,1751054.00,335510.00,620964.00,92980.00,0.00,0.00,33248.00,3873.00,3873.00,98.00,9101.00,2253.00,1.30,1865.00,1585.00,0.00,0.00,0.00,25.00,23.00,12.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,14519.00,264.00,739.00,1.00,33.00,306743.00,173040.00,109814.00,0.00,0.00,115739.00,173013.00,1177318.00,0.00,0.00,0.00,0.00,0.00,518017.00,0.00,15551.00,3854.00,7283.00,0.00,9.00,0.00,3.00,0.00,0.00,25.00,0.00,115.00,10.00,1.16,0.00,No,204998.00,6.25,97181.00,25011.00,11.43,29674.00,88409.00,3658.00,0.21,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
