Organisation Code,Organisation Name,Commissioning Region,Organisation Type,Site Code,Site Name,Site Type,Post Code,Hard FM (Estates) costs (£),Soft FM (Hotel services) costs (£),Estates and facilities finance costs (£),Maintenance service costs (£),Income received for area leased out for retail sales (£),Area leased out for retail sales (m²),Gross internal floor area (m²),Occupied floor area (m²),NHS estate occupied floor area (%),Site heated volume (m³),Building footprint (m²),Site land area (Hectare),Clinical space (m²),Non-clinical space (m²),Not functionally suitable - occupied floor area (%),Not functionally suitable - patient occupied floor area (%),Floor area - empty (%),Floor area - under used (%),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Age profile - 2015 to 2024 (%),Age profile - 2005 to 2014 (%),Age profile - 1995 to 2004 (%),Age profile - 1985 to 1994 (%),Age profile - 1975 to 1984 (%),Age profile - 1965 to 1974 (%),Age profile - 1955 to 1964 (%),Age profile - 1948 to 1954 (%),Age profile - pre 1948 (%),Cost to eradicate high risk backlog (£),Cost to eradicate significant risk backlog (£),Cost to eradicate moderate risk backlog (£),Cost to eradicate low risk backlog (£),Risk adjusted backlog cost (£),Energy costs (all energy supplies) (£),Electricity consumed (kWh),Gas consumed (kWh),Oil  consumed (kWh),Coal consumed (kWh),Steam consumed (kWh),Hot water consumed (kWh),Electricity consumed - renewable (kWh),Non-fossil fuel consumed - renewable (kWh),"Fossil energy input to CHP system/s
 (kWh)","Thermal energy output of CHP system/s
 (kWh)","Electrical energy output of CHP system/s
 (kWh)",Exported electricity (kWh),Exported thermal energy (kWh),Water cost (£),Sewage cost (£),Water volume (including borehole) (m³),"Clinical waste cost
 (£)",Clinical waste volume (Tonnes),Special waste cost (£),Special waste volume (Tonnes),Domestic waste cost (£),"Waste recycling, recovery cost (£)",Parking spaces available (No.),Designated disabled parking spaces (No.),Average fee charged per hour for patient/visitor parking (£),Average fee charged per hour for staff parking (£),Is there a charge for disabled parking (Yes/No/None),Cleaning service cost (£),Cleaning staff (WTE),Routine cleaning method/s - Traditional wet-mopping (disposable) (Yes/No),Routine cleaning method/s - Traditional wet-mopping (reusable) (Yes/No),Routine cleaning method/s - Microfibre (disposable) (Yes/No),Routine cleaning method/s - Microfibre (reusable) (Yes/No),Routine cleaning method/s - Disposable wipes (Yes/No),Routine cleaning method/s - Other (Yes/No),Enhanced cleaning method/s - Steam Cleaning (Yes/No),Enhanced cleaning method/s - Hydrogen peroxide fogging (Yes/No),Enhanced cleaning method/s - UV Light (Yes/No),Enhanced cleaning method/s - Chlorine-releasing cleaner (Yes/No),Enhanced cleaning method/s - Sporicidal cleaner (Yes/No),Enhanced cleaning method/s - Other (Yes/No),Cleaning audit processes - Visual audits based on the National Specification for Cleanliness or Publically Available Specification (Yes/No),Cleaning audit processes - Visual audits based on an alternative Specification to the National Specification for Cleanliness or Publically Available Specification (Yes/No),Cleaning audit processes - ATP Swab Testing (Yes/No),Cleaning audit processes - UV light Testing (Yes/No),Cleaning audit processes - Microbiological Swab Testing (Yes/No),Cleaning audit processes - Other (Yes/No),Cost of cleaning occupied floor area assessed as Red/Very High Risk (£),Occupied floor area assessed as Red/Very High Risk (%),Required standard for occupied floor area assessed as Red/Very High Risk (%),Achieved standard for occupied floor area identified as Red/Very High Risk (%),Cost of cleaning occupied floor area assessed as Amber/High and Significant Risk (£),Occupied floor area assessed as Amber/High and Significant Risk (%),Required standard for occupied floor area assessed as Amber/High and Significant Risk (%),Achieved standard for occupied floor area identified as Amber/High and Significant Risk (%),Cost of cleaning occupied floor area assessed as Green/Low Risk (£),Occupied floor area assessed as Green/Low Risk (%),Required standard for occupied floor area assessed as Green/Low Risk (%),Achieved standard for occupied floor area identified as Green/Low Risk (%),Cost of cleaning the occupied floor area not requiring regular cleaning (£),Occupied floor area not requiring regular cleaning (%),Inpatient food service cost (£),Inpatient main meals requested (No.),Cost of feeding one inpatient per day (inpatient meal day) (£),Laundry and linen service cost (£),Pieces per annum (No.),Laundry and linen service used (Select),Portering service cost (£),Portering staff (WTE)
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,AGGRE,AGGREGATE SITE,Aggregate Site,WR4 9RW,1366174.00,766271.00,3042728.00,801894.00,0.00,0.00,20690.00,19585.00,45.29,48615.00,16265.00,3.70,11858.00,7727.00,20.60,23.00,1.10,5.34,0.00,0.00,0.00,15.30,10.48,9.04,6.23,38.96,4.15,1.05,14.79,0.00,329647.00,2153737.00,1330008.00,547183.00,265606.00,1194448.00,2488439.00,33060.00,0.00,0.00,0.00,61002.00,0.00,0.00,0.00,0.00,0.00,0.00,20014.00,30437.00,10246.00,13.00,3.10,26936.00,16.96,31261.00,23922.00,897.00,69.00,1.00,0.00,No,463867.00,19.99,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00,0.00,0.00,118.00,363.00,3. Hybrid,9420.00,0.60
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1A1P,EVESHAM COMMUNITY HOSPITAL,Community hospital (with inpatient beds),WR11 1JT,676585.00,1014337.00,715779.00,317978.00,0.00,0.00,9009.00,8411.00,93.00,25910.00,11575.00,3.07,5434.00,2977.00,59.18,55.46,7.16,7.74,5.00,14.00,0.00,0.00,2.35,0.00,0.00,8.50,0.00,0.00,89.15,0.00,1374115.00,1603984.00,1056548.00,1530956.00,175396.00,0.00,2625761.00,0.00,0.00,0.00,0.00,785272.00,0.00,0.00,0.00,0.00,0.00,0.00,19266.00,15643.00,11902.00,784.00,0.64,13172.00,13.39,24226.00,11432.00,259.00,13.00,1.16,0.00,No,414088.00,15.72,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,16563.00,4.00,98.00,98.00,277439.00,67.00,90.00,97.00,103522.00,25.00,75.00,90.00,16563.00,4.00,173831.00,71859.00,7.26,94724.00,233751.00,3. Hybrid,257316.00,9.20
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1A22,KEITH WINTER CLOSE MH UNIT,Mental Health,B61 0EX,51539.00,62486.00,49016.00,27151.00,0.00,0.00,697.00,697.00,100.00,1638.00,440.00,0.74,591.00,106.00,65.00,65.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34993.00,29995.00,2029.00,11906.00,57660.00,150787.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1025.00,609.00,541.00,0.00,0.00,90.00,0.15,535.00,340.00,15.00,1.00,0.00,0.00,No,37543.00,1.49,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,0.00,0.00,98.00,0.00,33788.00,90.00,90.00,98.00,3378.00,9.00,75.00,98.00,377.00,1.00,15490.00,10790.00,4.31,0.00,0.00,0. No Service,0.00,0.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1A49,HILL CREST MH UNIT,Mental Health,B98 7WG,151721.00,231934.00,176620.00,86724.00,0.00,0.00,2295.00,2295.00,100.00,5393.00,2213.00,1.67,1701.00,594.00,9.98,10.00,0.50,0.00,21.00,4.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16371.00,467.00,32837.00,228813.00,539274.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2983.00,1469.00,1846.00,0.00,0.00,108.00,0.02,1081.00,2408.00,40.00,4.00,0.00,0.00,No,99885.00,3.73,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,0.00,0.00,98.00,0.00,16980.00,17.00,90.00,92.00,81906.00,82.00,75.00,90.00,999.00,1.00,97550.00,18576.00,15.75,4700.00,19132.00,3. Hybrid,9516.00,0.40
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1AAN,TENBURY COMMUNITY HOSPITAL,Community hospital (with inpatient beds),WR15 8AP,124904.00,231267.00,147697.00,67407.00,0.00,0.00,1919.00,1776.00,100.00,4510.00,2009.00,0.57,1101.00,675.00,3.00,8.00,0.00,7.45,3.00,0.00,0.00,29.13,0.00,0.00,0.00,0.00,0.00,70.87,0.00,0.00,4783.00,171821.00,114377.00,21619.00,26135.00,0.00,785234.00,0.00,0.00,0.00,0.00,211740.00,0.00,0.00,0.00,0.00,0.00,0.00,1707.00,1985.00,1131.00,0.00,0.00,2745.00,1.24,3982.00,1255.00,50.00,5.00,0.00,0.00,No,104519.00,3.31,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,0.00,0.00,98.00,0.00,63757.00,61.00,90.00,96.00,28220.00,27.00,75.00,96.00,12542.00,12.00,99321.00,17253.00,17.27,12997.00,44899.00,3. Hybrid,0.00,0.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1AAV,CROMWELL HOUSE,Mental Health,WR3 8AJ,31489.00,55274.00,31267.00,15800.00,0.00,0.00,436.00,436.00,100.00,1025.00,171.00,0.05,345.00,91.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7724.00,41438.00,68413.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1237.00,857.00,810.00,0.00,0.00,0.00,0.00,91.00,964.00,5.00,1.00,0.00,0.00,No,36185.00,1.29,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,0.00,0.00,98.00,0.00,7237.00,20.00,90.00,97.00,28948.00,80.00,75.00,97.00,0.00,0.00,15404.00,11306.00,4.09,0.00,0.00,0. No Service,0.00,0.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1ACG,PRINCESS OF WALES HOSPITAL,Community hospital (with inpatient beds),B61 0BB,796887.00,1269952.00,849926.00,367264.00,0.00,0.00,11445.00,11445.00,100.00,26919.00,11506.00,5.71,7348.00,4097.00,0.60,3.00,3.49,0.00,38.00,23.00,0.00,10.23,0.00,84.91,1.31,2.30,1.25,0.00,0.00,0.00,4235.00,296145.00,321201.00,43956.00,261012.00,0.00,3508650.00,0.00,0.00,0.00,0.00,1635902.00,0.00,0.00,0.00,0.00,0.00,0.00,15069.00,9610.00,9621.00,65.00,0.05,1123.00,4.94,15150.00,6170.00,359.00,24.00,1.16,0.00,Yes,649496.00,20.48,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,0.00,0.00,98.00,0.00,493617.00,76.00,90.00,94.00,116909.00,18.00,75.00,92.00,38970.00,6.00,418310.00,71595.00,17.52,90964.00,247327.00,3. Hybrid,111182.00,4.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1ACW,PERSHORE HOSPITAL,Community hospital (with inpatient beds),WR10 1PS,181084.00,287923.00,617682.00,124222.00,0.00,0.00,1821.00,1821.00,0.00,4279.00,1448.00,0.15,1231.00,590.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7254.00,362.00,22402.00,0.00,450496.00,0.00,0.00,0.00,0.00,181150.00,0.00,0.00,0.00,0.00,0.00,0.00,3072.00,1827.00,1768.00,726.00,0.56,2325.00,1.86,3783.00,1188.00,15.00,2.00,1.00,0.00,No,117829.00,4.13,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,0.00,0.00,98.00,0.00,94263.00,42.00,90.00,97.00,23566.00,11.00,75.00,90.00,0.00,47.00,105707.00,25554.00,12.41,25605.00,86080.00,3. Hybrid,22376.00,1.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1ACY,OSBORNE COURT,Learning Disabilities,WR14 1JE,164586.00,51446.00,153918.00,82282.00,0.00,0.00,2109.00,1778.00,100.00,4956.00,2394.00,1.20,1079.00,699.00,15.30,0.00,15.80,15.00,0.00,21.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59533.00,157445.00,8135.00,47273.00,230384.00,609563.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3157.00,2352.00,2089.00,0.00,0.00,335.00,0.11,3992.00,1406.00,53.00,3.00,0.00,0.00,No,8094.00,0.50,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,0.00,0.00,98.00,0.00,1619.00,20.00,90.00,98.00,6475.00,80.00,75.00,98.00,0.00,0.00,22797.00,17680.00,3.87,4301.00,15469.00,3. Hybrid,0.00,0.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1ADC,MALVERN COMMUNITY HOSPITAL,Community hospital (with inpatient beds),WR14 1EX,329733.00,449112.00,352185.00,140583.00,0.00,0.00,3936.00,3936.00,100.00,9273.00,2296.00,1.32,2606.00,1330.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14670.00,267.00,746.00,109641.00,30689.00,904341.00,0.00,0.00,0.00,0.00,595246.00,0.00,85722.00,51251.00,30689.00,0.00,0.00,7868.00,10732.00,4987.00,0.00,0.00,4046.00,3.50,12510.00,1849.00,115.00,10.00,1.16,0.00,No,203139.00,6.38,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,2031.00,1.00,98.00,98.00,164542.00,81.00,90.00,97.00,34535.00,17.00,75.00,88.00,2031.00,1.00,108799.00,25203.00,12.95,25373.00,90390.00,3. Hybrid,82843.00,3.00
