Trust Code,Trust Name,Commissioning Region,Trust Type,Site Code,Site Name,Site Type,Tenure,Post Code,Estates and facilities finance costs (£),Estates and property maintenance (£),Grounds and gardens maintenance (£),Electro Bio Medical Equipment maintenance cost (£),Other Hard FM (Estates) costs (£),Other Soft FM (Hotel Services) costs (£),Income received for area leased out for retail sales (£),Area leased out for retail sales (m²),Gross internal floor area (m²),Occupied floor area (m²),NHS estate occupied floor area (%),Site heated volume (m³),Land area owned (Hectares),Land area not delivering services (Hectares),Clinical space (m²),Non-clinical space (m²),Not functionally suitable - occupied floor area (%),Not functionally suitable - patient occupied floor area (%),Floor area - empty (%),Floor area - under used (%),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Isolation rooms (No.),Age profile - 2015 to 2024 (%),Age profile - 2005 to 2014 (%),Age profile - 1995 to 2004 (%),Age profile - 1985 to 1994 (%),Age profile - 1975 to 1984 (%),Age profile - 1965 to 1974 (%),Age profile - 1955 to 1964 (%),Age profile - 1948 to 1954 (%),Age profile - pre 1948 (%),Age profile - total (must equal 100%) (%),Cost to eradicate high risk backlog (£),Cost to eradicate significant risk backlog (£),Cost to eradicate moderate risk backlog (£),Cost to eradicate low risk backlog (£),Cost to eradicate Safety related Critical Infrastructure Risk (£),Cost to eradicate non-compliance related Critical Infrastructure Risk (£),Cost to eradicate continuity related Critical Infrastructure Risk (£),CHP units operated on the site (No.),CHP unit/s size (Watts),CHP unit/s efficiency (%),Fossil energy input to CHP system/s (kWh),Thermal energy output of CHP system/s (kWh),Electrical energy output of CHP system/s (kWh),Exported electricity (kWh),Exported thermal energy (kWh),Energy costs (all energy supplies) (£),Electricity consumed (kWh),Gas consumed (kWh),Oil consumed (kWh),Coal consumed (kWh),Steam consumed (kWh),Hot water consumed (kWh),Electricity consumed - green energy tariff (kWh),Electricity consumed - third party owned renewable (kWh),Non-fossil fuel consumed - renewable (kWh),Electrical energy output of owned onsite renewables (kWh),Peak electrical load (MW),Maximum electrical load (MW),Water cost (£),Sewage cost (£),Water volume (including borehole) (m³),Landfill disposal cost (£),Landfill disposal volume (Tonnes),Incineration disposal cost (£),Incineration disposal volume (Tonnes),Waste reycling cost (£),Waste reycling volume (Tonnes),Other recovery cost (£),Other recovery volume (Tonnes),Parking spaces available (No.),Designated disabled parking spaces (No.),Average fee charged per hour for patient/visitor parking (£),Average fee charged per hour for staff parking (£),Is there a charge for disabled parking (Yes/No/None),Cleaning service cost (£),Cleaning staff (WTE),Routine cleaning method/s - Traditional wet-mopping (disposable) (Yes/No),Routine cleaning method/s - Traditional wet-mopping (reusable) (Yes/No),Routine cleaning method/s - Microfibre (disposable) (Yes/No),Routine cleaning method/s - Microfibre (reusable) (Yes/No),Routine cleaning method/s - Disposable wipes (Yes/No),Routine cleaning method/s - Other (Yes/No),Enhanced cleaning method/s - Steam Cleaning (Yes/No),Enhanced cleaning method/s - Hydrogen peroxide fogging (Yes/No),Enhanced cleaning method/s - UV Light (Yes/No),Enhanced cleaning method/s - Chlorine-releasing cleaner (Yes/No),Enhanced cleaning method/s - Sporicidal cleaner (Yes/No),Enhanced cleaning method/s - Other (Yes/No),Cleaning audit processes - Visual audits based on the National Specification for Cleanliness or Publically Available Specification (Yes/No),Cleaning audit processes - Visual audits based on an alternative Specification to the National Specification for Cleanliness or Publically Available Specification (Yes/No),Cleaning audit processes - ATP swab testing (Yes/No),Cleaning audit processes - UV light testing (Yes/No),Cleaning audit processes - Microbiological swab testing (Yes/No),Cleaning audit processes - Other (Yes/No),Cost of cleaning occupied floor area assessed as Red/Very High Risk (£),Occupied floor area assessed as Red/Very High Risk (%),Required standard for occupied floor area assessed as Red/Very High Risk (%),Achieved standard for occupied floor area identified as Red/Very High Risk (%),Cost of cleaning occupied floor area assessed as Amber/High and Significant Risk (£),Occupied floor area assessed as Amber/High and Significant Risk (%),Required standard for occupied floor area assessed as Amber/High and Significant Risk (%),Achieved standard for occupied floor area identified as Amber/High and Significant Risk (%),Cost of cleaning occupied floor area assessed as Green/Low Risk (£),Occupied floor area assessed as Green/Low Risk (%),Required standard for occupied floor area assessed as Green/Low Risk (%),Achieved standard for occupied floor area identified as Green/Low Risk (%),Cost of cleaning the occupied floor area not requiring regular cleaning (£),Occupied floor area not requiring regular cleaning (%),Inpatient food service cost (£),Inpatient main meals requested (No.),Cost of feeding one inpatient per day (inpatient meal day) (£),Laundry and linen service cost (£),Pieces per annum (No.),Laundry and linen service used (Select),Portering service cost (£),Portering staff (WTE)
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,AGGRE,AGGREGATE SITE,Aggregate Site,,WR4 9RW,2728686.00,709058.00,21149.00,294425.00,351649.00,295129.00,0.00,0.00,21355.00,20564.00,45.55,50178.00,3.62,0.00,13943.00,5386.00,21.50,24.00,3.70,1.33,0.00,4.00,0.00,0.00,13.00,11.00,10.00,6.00,40.00,4.00,1.00,15.00,100.00,0.00,316628.00,2049070.00,1218122.00,136990.00,10374.00,169264.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,241938.00,999150.00,2818818.00,33126.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20840.00,27000.00,9966.00,1981.00,8.00,0.00,0.00,29398.00,74.00,30491.00,120.00,866.00,66.00,1.00,0.00,No,433051.00,18.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,14458.00,9855.00,4.40,198.00,421.00,3. Hybrid,14500.00,0.60
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1A1P,EVESHAM COMMUNITY HOSPITAL,7. Community hospital (with inpatient beds),1. Freehold,WR11 1JT,510125.00,176356.00,7917.00,20230.00,199064.00,103615.00,0.00,0.00,9009.00,8411.00,93.00,25910.00,3.07,0.00,5434.00,2977.00,59.89,55.46,4.60,7.10,5.00,14.00,0.00,0.00,0.00,2.35,0.00,0.00,8.50,0.00,0.00,89.15,100.00,0.00,1401259.00,1635668.00,1077418.00,194129.00,0.00,1207130.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,142640.00,701095.00,2460506.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.21,19366.00,15724.00,11905.00,14440.00,43.75,0.00,0.00,17138.00,48.81,15015.00,30.42,259.00,13.00,1.16,0.00,No,438076.00,16.06,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,17523.00,4.00,98.00,97.00,293511.00,67.00,90.00,98.00,144565.00,29.00,75.00,95.00,0.00,0.00,202047.00,72429.00,8.37,228381.00,200797.00,3. Hybrid,242003.00,8.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1A22,KEITH WINTER CLOSE MH UNIT,4. Mental Health (including Specialist services),1. Freehold,B61 0EX,74098.00,13804.00,690.00,860.00,12668.00,9285.00,0.00,0.00,697.00,697.00,100.00,1638.00,0.74,0.00,591.00,106.00,65.00,65.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,35623.00,30587.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9378.00,50182.00,166525.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1030.00,612.00,541.00,0.00,0.00,0.00,0.00,1113.00,3.21,535.00,3.17,15.00,1.00,0.00,0.00,No,39895.00,1.49,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,0.00,0.00,98.00,0.00,35906.00,90.00,90.00,98.00,3590.00,9.00,75.00,97.00,399.00,1.00,17660.00,11219.00,4.72,4813.00,10000.00,2. Full Service – In house,0.00,0.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1A49,HILL CREST MH UNIT,4. Mental Health (including Specialist services),4. SLA/lease from NHS,B98 7WG,195279.00,47184.00,2273.00,1459.00,56643.00,26156.00,0.00,0.00,2295.00,2295.00,100.00,5393.00,1.67,0.00,1701.00,594.00,0.00,0.50,0.00,0.00,4.00,21.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,16695.00,Not Applicable,Not Applicable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25801.00,251576.00,429543.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28748.00,1.59,1.52,2528.00,1505.00,1686.00,0.00,0.00,0.00,0.00,4039.00,10.98,936.00,5.08,40.00,4.00,0.00,0.00,No,100797.00,3.89,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,0.00,0.00,98.00,0.00,17135.00,17.00,90.00,94.00,82664.00,82.00,75.00,92.00,998.00,1.00,118428.00,19389.00,18.32,4326.00,13191.00,3. Hybrid,8121.00,0.35
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1AAN,TENBURY COMMUNITY HOSPITAL,7. Community hospital (with inpatient beds),1. Freehold,WR15 8AF,149646.00,34304.00,1806.00,9458.00,55168.00,20918.00,0.00,0.00,1919.00,1776.00,100.00,4510.00,0.57,0.00,1101.00,675.00,3.00,8.00,5.50,3.00,3.00,0.00,0.00,0.00,29.13,0.00,0.00,0.00,0.00,0.00,70.87,0.00,100.00,0.00,4878.00,175215.00,116636.00,0.00,4878.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48019.00,204170.00,778380.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1716.00,1995.00,1131.00,2152.00,6.52,0.00,0.00,731.00,2.45,3441.00,8.12,50.00,5.00,0.00,0.00,No,109854.00,3.71,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,0.00,0.00,98.00,0.00,67011.00,61.00,90.00,98.00,29661.00,27.00,75.00,97.00,13182.00,12.00,98348.00,17874.00,16.50,19946.00,61321.00,3. Hybrid,779.00,0.03
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1AAV,CROMWELL HOUSE,4. Mental Health (including Specialist services),1. Freehold,WR3 8AJ,40098.00,9176.00,432.00,12384.00,10424.00,4766.00,0.00,0.00,436.00,436.00,100.00,1025.00,0.05,0.00,345.00,91.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6206.00,38704.00,66137.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1243.00,861.00,810.00,0.00,0.00,0.00,0.00,1061.00,1.25,1053.00,2.70,5.00,1.00,0.00,0.00,No,34942.00,1.29,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,0.00,0.00,98.00,0.00,6988.00,20.00,90.00,98.00,27954.00,80.00,75.00,98.00,0.00,0.00,15364.00,11019.00,4.18,933.00,2000.00,2. Full Service – In house,177.00,0.01
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1ACG,PRINCESS OF WALES HOSPITAL,7. Community hospital (with inpatient beds),1. Freehold,B61 0BB,1060184.00,200794.00,9614.00,16246.00,263657.00,266074.00,0.00,0.00,11445.00,11445.00,100.00,26919.00,5.71,0.00,7348.00,4097.00,0.60,3.00,4.60,0.00,38.00,23.00,0.00,0.00,10.23,0.00,84.91,1.31,2.30,1.25,0.00,0.00,100.00,0.00,4319.00,301997.00,335133.00,4319.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,267799.00,1418216.00,2544517.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10787.00,0.31,0.27,15069.00,9610.00,9621.00,0.00,0.00,0.00,0.00,1905.00,17.71,16332.00,80.67,359.00,24.00,1.16,0.00,Yes,653883.00,21.26,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,0.00,0.00,98.00,0.00,496952.00,76.00,90.00,95.00,117699.00,18.00,75.00,94.00,39232.00,6.00,474558.00,80058.00,17.78,79054.00,229764.00,3. Hybrid,112761.00,4.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1ACW,PERSHORE HOSPITAL,7. Community hospital (with inpatient beds),4. SLA/lease from NHS,WR10 1PS,477227.00,270515.00,1803.00,8299.00,44289.00,19995.00,0.00,0.00,1821.00,1821.00,0.00,4279.00,0.15,0.00,1231.00,590.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,7397.00,Not Applicable,Not Applicable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33439.00,182622.00,390037.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.06,3088.00,1836.00,1768.00,2631.00,7.57,0.00,0.00,1118.00,2.53,2178.00,4.34,15.00,2.00,1.00,0.00,No,103986.00,4.08,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,0.00,0.00,98.00,0.00,92548.00,89.00,90.00,97.00,11528.00,11.00,75.00,93.00,0.00,0.00,119289.00,26523.00,13.49,24889.00,76474.00,3. Hybrid,22692.00,1.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1ACY,OSBORNE COURT,5. Learning Disabilities,1. Freehold,WR14 1JE,150145.00,44647.00,2089.00,5846.00,48245.00,23015.00,0.00,0.00,2109.00,1778.00,100.00,4956.00,1.20,0.00,1079.00,699.00,15.30,0.00,15.80,15.00,0.00,21.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,60709.00,160555.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35973.00,142310.00,641376.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3173.00,2364.00,2089.00,1329.00,4.03,0.00,0.00,1617.00,3.61,3788.00,7.07,53.00,3.00,0.00,0.00,No,13555.00,0.50,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,0.00,0.00,98.00,0.00,2711.00,20.00,90.00,95.00,10844.00,80.00,75.00,98.00,0.00,0.00,23196.00,16983.00,4.10,3534.00,10277.00,3. Hybrid,0.00,0.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1ADC,MALVERN COMMUNITY HOSPITAL,7. Community hospital (with inpatient beds),1. Freehold,WR14 1EX,684993.00,76605.00,3710.00,24179.00,143886.00,42927.00,0.00,0.00,3936.00,3936.00,100.00,9273.00,1.32,0.00,2606.00,1330.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,14690.00,272.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,112643.00,641100.00,847371.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4310.00,0.19,0.13,7909.00,10787.00,4987.00,9945.00,30.14,0.00,0.00,2093.00,4.18,7796.00,11.67,115.00,10.00,1.16,0.00,No,215473.00,6.44,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,2154.00,1.00,98.00,98.00,174533.00,81.00,90.00,98.00,36632.00,17.00,75.00,97.00,2154.00,1.00,121369.00,24900.00,14.62,23939.00,73566.00,3. Hybrid,75915.00,3.00
