Trust Code,Trust Name,Commissioning Region,Trust Type,Site Code,Site Name,Site Type,Tenure,Leasehold Type,Post Code,Estates and facilities finance costs (£),Indirect accommodation subsidies (£),Estates and property maintenance (£),Grounds and gardens maintenance (£),Electro Bio Medical Equipment maintenance cost (£),Other Hard FM (Estates) costs (£),Other Soft FM (Hotel Services) costs (£),Gross internal floor area (m²),Occupied floor area (m²),NHS estate occupied floor area (%),Site heated volume (m³),Land area owned (Hectares),Land area not delivering services (Hectares),Clinical space (m²),Non-clinical space (m²),Private patient (m²),Pathology (m²),Clinical Sterile Services Dept. (m²),Medical records (m²),Human Resources (m²),Information Technology (m²),General Administration (m²),Restaurants (m²),Staff Accommodation (m²),Retail sales area (m²),Income from areas leased out for retail sales (£),Not functionally suitable - occupied floor area (%),Not functionally suitable - patient occupied floor area (%),Floor area - empty (%),Floor area - under used (%),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Isolation rooms (No.),Cost to eradicate high risk backlog (£),Cost to eradicate significant risk backlog (£),Cost to eradicate moderate risk backlog (£),Cost to eradicate low risk backlog (£),CHP units operated on the site (No.),CHP unit/s size (Watts),CHP unit/s efficiency (%),Fossil energy input to CHP system/s (kWh),Thermal energy output of CHP system/s (kWh),Electrical energy output of CHP system/s (kWh),Exported electricity (kWh),Exported thermal energy (kWh),Energy costs (all energy supplies) (£),Electricity consumed (kWh),Gas consumed (kWh),Oil consumed (kWh),Coal consumed (kWh),Steam consumed (kWh),Hot water consumed (kWh),Electricity consumed - green energy tariff (kWh),Electricity consumed - third party owned renewable (kWh),Non-fossil fuel consumed - renewable (kWh),Electrical energy output of owned onsite renewables (kWh),Water cost (£),Sewerage cost (£),Water volume (including borehole) (m³),Landfill disposal cost (£),Landfill disposal volume (Tonnes),Incineration disposal cost (£),Incineration disposal volume (Tonnes),Waste reycling cost (£),Waste reycling volume (Tonnes),Other recovery cost (£),Other recovery volume (Tonnes),Car parking services cost (£),Parking spaces available (No.),Designated disabled parking spaces (No.),Electric vehicle charging points (No.),Average fee charged per hour for patient/visitor parking (£),Average fee charged per hour for staff parking (£),Is there a charge for disabled parking (select),Cleaning service cost (£),Cleaning staff (WTE),Inpatient food service cost (£),Inpatient main meals requested (No.),Cost of feeding one inpatient per day (inpatient meal day) (£),Unserved meals: Starters (Kg),Unserved meals: Mains (Kg),Unserved meals: Desserts (Kg),Laundry and linen service cost (£),Pieces per annum (No.),Laundry and linen service used (Select),Onsite laundry that could provide services to other organisations (Select),Portering service cost (£),Portering staff (WTE)
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,ACUTE - TEACHING,AGGRE,AGGREGATE SITE,Aggregate Site,,,M13 9WL,11472121.00,0.00,1302229.00,17514.00,176681.00,265768.00,1190946.00,139147.00,58300.00,83.33,80333.00,0.68,1.54,13361.00,14667.00,0.00,32.00,0.00,2227.00,0.00,50.00,481.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,1.33,0.00,0.00,0.00,1858.00,0.00,421219.00,43534.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,651337.00,4319657.00,5454611.00,2712.00,0.00,0.00,0.00,0.00,0.00,0.00,3100.00,47993.00,99990.00,29380.00,12890.00,27.54,14515.00,46.21,8689.00,73.50,46095.00,998.01,-489487.00,1097.00,30.00,4.00,1.33,0.11,No,1171339.00,37.72,0.00,0.00,0.00,0.00,0.00,0.00,18892.00,52304.00,1. Full Service – Contracted,No,298228.00,8.77
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,ACUTE - TEACHING,R0A01,ISLAND SITE,1. General acute hospital,2. Whole site - Private Finance Initiative (PFI),,M13 9WL,45781333.00,Not Applicable,8689926.00,200024.00,2087137.00,1530143.00,6073781.00,287549.00,206153.00,100.00,523217.00,6.24,0.00,134000.00,72153.00,504.00,11687.00,1812.00,1065.00,544.00,172.00,9042.00,720.00,0.00,1684.00,212200.00,0.00,0.00,5.00,0.00,291.00,26.00,71.00,200.00,417946.00,4292709.00,1769794.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6968893.00,52550565.00,91897250.00,647991.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,409414.00,517139.00,314762.00,568878.00,1215.47,192777.00,408.18,72361.00,427.78,299968.00,1648.81,-964939.00,3564.00,264.00,14.00,0.83,0.11,No,8526564.00,239.49,5212728.00,1160553.00,12.58,0.00,0.00,0.00,1828264.00,4984333.00,1. Full Service – Contracted,No,2150682.00,79.67
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,ACUTE - TEACHING,R0A07,WYTHENSHAWE HOSPITAL,1. General acute hospital,2. Whole site - Private Finance Initiative (PFI),,M23 9LT,21535333.00,Not Applicable,4874205.00,0.00,370926.00,743589.00,2599038.00,122707.00,122707.00,99.00,269699.00,28.35,0.00,76973.00,45734.00,0.00,3099.00,738.00,0.00,217.00,196.00,1356.00,411.00,0.00,201.00,125518.00,37.00,17.00,0.00,7.00,174.00,130.00,4.00,232177.00,14598996.00,6988717.00,5370371.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2869470.00,19469524.00,30774838.00,0.00,0.00,0.00,0.00,0.00,0.00,9999550.00,67805.00,259390.00,288565.00,200882.00,0.00,0.00,41195.00,97.85,0.00,160.88,461902.00,1544.10,-1901568.00,3136.00,111.00,6.00,1.33,0.19,No,8356394.00,192.07,4477386.00,911706.00,14.73,0.00,0.00,0.00,1895410.00,4595965.00,1. Full Service – Contracted,No,3132378.00,96.18
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,ACUTE - TEACHING,R0A09,TRAFFORD GENERAL HOSPITAL,1. General acute hospital,1. Freehold,,M41 5SL,2107339.00,Not Applicable,728752.00,17864.00,135677.00,381329.00,1172192.00,56493.00,55273.00,100.00,140283.00,3.20,9.54,33164.00,22109.00,0.00,1895.00,163.00,497.00,49.00,146.00,1650.00,1168.00,0.00,0.00,0.00,14.00,6.00,6.00,0.00,32.00,2.00,0.00,4440391.00,3561412.00,695601.00,6175566.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1100463.00,5841726.00,15003559.00,21877.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91021.00,144205.00,53191.00,262.00,0.82,59648.00,197.18,20578.00,130.81,33556.00,185.90,-46200.00,864.00,42.00,2.00,0.00,0.08,No,1413920.00,46.57,890945.00,247245.00,10.24,0.00,0.00,0.00,276357.00,679745.00,1. Full Service – Contracted,No,352744.00,17.07
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,ACUTE - TEACHING,R0A47,DERMOTT MURPHY CLOSE - LONG STAY UNIT,8. Other inpatient,1. Freehold,,M20 1FQ,0.00,Not Applicable,0.00,0.00,0.00,0.00,4195.00,1717.00,1717.00,100.00,4636.00,0.00,0.00,1717.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18982.00,85745.00,420812.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3601.00,4495.00,2157.00,0.00,0.00,155.00,0.37,0.00,0.00,27841.00,186.27,-26608.00,10.00,4.00,0.00,0.00,0.00,No,61542.00,4.28,88005.00,24090.00,10.96,0.00,0.00,0.00,17331.00,47984.00,1. Full Service – Contracted,No,0.00,0.00
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,ACUTE - TEACHING,R0A49,BUCCLEUCH LODGE,8. Other inpatient,1. Freehold,,M20 2XA,67432.00,Not Applicable,0.00,0.00,0.00,0.00,4677.00,1914.00,1914.00,100.00,5168.00,0.00,0.00,1914.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31721.00,118263.00,671664.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2722.00,1787.00,1940.00,0.00,0.00,106.00,0.25,0.00,0.00,8684.00,60.27,-29661.00,0.00,0.00,0.00,0.00,0.00,No,68603.00,2.88,78034.00,15330.00,15.27,0.00,0.00,0.00,8315.00,23020.00,1. Full Service – Contracted,No,22677.00,1.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,AGGRE,AGGREGATE SITE,Aggregate Site,,,WR4 9RW,1855045.00,0.00,378670.00,11891.00,248845.00,109717.00,165901.00,20459.00,19900.00,41.40,48079.00,3.62,0.00,12934.00,4296.00,0.00,0.00,0.00,77.00,196.00,97.00,3059.00,0.00,0.00,0.00,0.00,21.50,24.00,3.60,2.00,0.00,4.00,0.00,0.00,327442.00,2100281.00,1306555.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,127026.00,581845.00,2759859.00,44373.00,0.00,0.00,0.00,0.00,57719.00,174388.00,0.00,20825.00,27845.00,10890.00,246.00,2.50,13931.00,18.78,38931.00,84.69,27947.00,91.33,0.00,866.00,66.00,0.00,1.00,0.00,No,394208.00,16.29,15904.00,10950.00,4.36,0.00,0.00,0.00,0.00,0.00,0. No Service,Not Applicable,26554.00,1.40
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1A1P,EVESHAM COMMUNITY HOSPITAL,7. Community hospital (with inpatient beds),1. Freehold,,WR11 1JT,484133.00,Not Applicable,282227.00,12277.00,55232.00,96034.00,80038.00,9009.00,8606.00,100.00,25910.00,3.07,0.00,4900.00,3491.00,0.00,0.00,0.00,37.00,0.00,67.00,0.00,111.00,0.00,0.00,0.00,59.89,55.46,4.50,7.10,5.00,14.00,0.00,0.00,1533166.00,1887686.00,1125402.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,137401.00,536942.00,2632585.00,0.00,0.00,0.00,0.00,0.00,5958.00,119173.00,0.00,17677.00,14353.00,10867.00,915.00,3.00,20736.00,43.68,9849.00,112.00,9688.00,31.27,50030.00,257.00,13.00,0.00,1.16,0.00,No,406435.00,14.47,195868.00,55944.00,10.50,0.00,11.55,3.35,56883.00,162594.00,3. Hybrid,No,183679.00,6.20
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1A22,KEITH WINTER CLOSE MH UNIT,4. Mental Health (including Specialist services),1. Freehold,,B61 0EX,65769.00,Not Applicable,34896.00,6188.00,2343.00,9405.00,8900.00,697.00,697.00,100.00,1638.00,0.74,0.00,612.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.00,65.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,55751.00,43485.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11233.00,42569.00,182967.00,0.00,0.00,0.00,0.00,0.00,472.00,9448.00,0.00,2300.00,1366.00,1208.00,0.00,0.00,436.00,0.87,1013.00,3.17,613.00,3.33,0.00,15.00,1.00,0.00,0.00,0.00,No,43397.00,1.49,16347.00,12045.00,4.25,0.00,0.00,0.00,0.00,0.00,0. No Service,Not Applicable,0.00,0.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1A49,HILL CREST MH UNIT,4. Mental Health (including Specialist services),5. SLA/lease from public sector,1. Leased and fully serviced by the Trust,B98 7WG,223134.00,0.00,69508.00,6352.00,4763.00,4544.00,10560.00,2295.00,2295.00,100.00,5393.00,Not Applicable,Not Applicable,1791.00,450.00,0.00,0.00,0.00,54.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,4.00,21.00,0.00,0.00,0.00,0.00,17265.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44155.00,29563.00,467478.00,0.00,0.00,0.00,0.00,0.00,157877.00,17861.00,26744.00,2952.00,1758.00,1686.00,0.00,0.00,489.00,0.84,2336.00,4.94,3186.00,10.16,0.00,40.00,4.00,0.00,0.00,0.00,No,108434.00,4.12,145838.00,26439.00,16.55,0.50,17.50,0.50,5047.00,15531.00,3. Hybrid,No,0.00,0.00
