Trust Code,Trust Name,Old Commissioning Region,New Commissioning Region,Trust Type,Site Code,Site Name,Site Type,Tenure,Leasehold Type,Post Code,Depreciation (£),PDC (£),Leases (£),Rent and Rates (£),Interest on Capital (£),Other Estates and Facilities finance costs (£),Indirect accommodation subsidies (£),Estates and property maintenance (£),Grounds and gardens maintenance (£),Electro Bio Medical Equipment maintenance (£),Other Hard FM (Estates) costs (£),Other Soft FM (Hotel Services) costs (£),Gross internal floor area (m²),Occupied floor area (m²),NHS estate occupied floor area (%),Site heated volume (m³),Land area owned (Hectares),Land area not delivering services (Hectares),Clinical space (m²),Non-clinical space (m²),Private patient (m²),Pathology (m²),Clinical Sterile Services Dept. (CSSD) (m²),Medical records (m²),Human Resources (m²),Information Technology (m²),General Administration (m²),Restaurants (m²),Staff Accommodation (m²),Retail sales area (m²),Not functionally suitable - occupied floor area (%),Not functionally suitable - patient occupied floor area (%),Floor area - empty (%),Floor area - under used (%),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Isolation rooms (No.),Cost to eradicate high risk backlog (£),Cost to eradicate significant risk backlog (£),Cost to eradicate moderate risk backlog (£),Cost to eradicate low risk backlog (£),CHP units operated on the site (No.),CHP unit/s size (Watts),CHP unit/s efficiency (%),Fossil energy input to CHP system/s (kWh),Thermal energy output of CHP system/s (kWh),Electrical energy output of CHP system/s (kWh),Exported electricity (kWh),Exported thermal energy (kWh),Have you dumped/discharged energy in the last year (Yes/No),How many kWh were discharged (kWh),How many kWh were discharged to use (kWh),How many kWh were discharged to waste (kWh),Electricity costs (£),Electricity consumed (kWh),Gas costs (£),Gas consumed (kWh),Oil costs (£),Oil consumed (kWh),Coal costs (£),Coal consumed (kWh),Electricity costs - green energy tariff (£),Electricity consumed - green energy tariff (kWh),Electricity costs - third party owned renewable (£),Electricity consumed - third party owned renewable (kWh),Non-fossil fuel costs - renewable (£),Non-fossil fuel consumed - renewable (kWh),Other energy costs (£),Steam consumed (kWh),Hot water consumed (kWh),Electrical energy output of owned onsite renewables (kWh),Water and sewerage cost (£),Water volume (including borehole) (m³),Incineration (clinical waste) cost (£),Incineration (clinical waste) volume (Tonnes),Alternative Treatment (clinical waste) cost (£),Alternative Treatment (clinical waste) volume (Tonnes),Offensive waste cost (£),Offensive waste volume (Tonnes),Clinical waste processed on site cost (£),Clinical waste processed on site volume (Tonnes),Domestic waste (landfill) cost (£),Domestic waste (landfill) volume (Tonnes),Domestic waste (recycling) cost (£),Domestic waste (recycling) volume (Tonnes),Domestic waste (food) cost (£),Domestic waste (food) volume (Tonnes),Domestic waste (textiles) cost (£),Domestic waste (textiles) volume (Tonnes),Domestic waste (incineration) cost (£),Domestic waste (incineration) volume (Tonnes),Domestic waste processed on site cost (£),Domestic waste processed on site volume (Tonnes),WEEE waste cost (£),WEEE waste volume (Tonnes),Other waste costs (£),Car parking services cost (£),Parking spaces available (No.),Designated disabled parking spaces (No.),Electric vehicle charging points (No.),Average fee charged per hour for patient/visitor parking (£),Average fee charged per hour for staff parking (£),Is there a charge for disabled parking (Yes/No/None),Cleaning service cost (£),Cleaning staff (WTE),Inpatient food service cost (£),Inpatient main meals requested (No.),Laundry and linen service cost (£),Pieces per annum (No.),Laundry and linen service used (Select),Onsite laundry (Select),Portering service cost (£),Portering staff (WTE)
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,NORTH WEST COMMISSIONING REGION,ACUTE - TEACHING,R0A01,ISLAND SITE,1. General acute hospital,2. Whole site - Private Finance Initiative (PFI),,M13 9WL,8457833.00,10267106.00,9243834.00,3965161.00,32412612.00,0.00,Not Applicable,8966736.00,206372.00,2180966.00,1856851.00,6818914.00,287549.00,206153.00,100.00,523216.00,6.24,0.00,133157.00,71312.00,504.00,11687.00,1812.00,543.00,544.00,172.00,9042.00,720.00,0.00,1684.00,0.00,0.00,5.00,0.00,291.00,26.00,71.00,1031000.00,4523200.00,3849473.00,2226685.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5957960.00,53671665.00,2535819.00,87379819.00,32663.00,542700.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,645476.00,325351.00,189450.00,393.80,297376.00,613.21,290208.00,598.00,0.00,0.00,0.00,0.00,45084.00,461.00,30322.00,165.00,0.00,0.00,253345.00,1374.00,0.00,0.00,19930.00,72.00,481214.00,2371378.00,4279.00,263.00,15.00,0.83,0.13,No,9032679.00,234.23,5674997.00,1201418.00,2325140.00,5367003.00,1. Full service – Contracted,No,2381558.00,79.99
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,NORTH WEST COMMISSIONING REGION,ACUTE - TEACHING,R0A07,WYTHENSHAWE HOSPITAL,1. General acute hospital,2. Whole site - Private Finance Initiative (PFI),,M23 9LT,5331695.00,5884529.00,0.00,1817249.00,8302874.00,0.00,Not Applicable,5107266.00,0.00,0.00,684675.00,4676211.00,124998.00,124998.00,99.00,275886.00,28.35,0.00,79164.00,45633.00,0.00,3099.00,738.00,0.00,217.00,196.00,1356.00,411.00,0.00,201.00,37.00,17.00,0.00,7.00,174.00,130.00,4.00,159389.00,13944763.00,7409085.00,5693396.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2080621.00,21096738.00,812128.00,33617769.00,4550.00,75600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76766.00,647420.00,198596.00,31057.00,26.00,265713.00,900.72,0.00,0.00,0.00,0.00,0.00,0.00,102136.00,751.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4634.00,51.02,0.00,304230.00,3026.00,100.00,6.00,1.50,0.19,No,8740974.00,260.02,4434995.00,863676.00,1963714.00,4338255.00,1. Full service – Contracted,No,3327515.00,102.87
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,NORTH WEST COMMISSIONING REGION,ACUTE - TEACHING,R0A09,TRAFFORD GENERAL HOSPITAL,1. General acute hospital,1. Freehold,,M41 5SL,821102.00,826839.00,0.00,599715.00,0.00,0.00,Not Applicable,1972851.00,17864.00,141099.00,0.00,1561967.00,52431.00,51211.00,100.00,129974.00,9.54,3.20,33287.00,17924.00,0.00,1895.00,163.00,366.00,49.00,146.00,1650.00,1168.00,0.00,0.00,14.00,6.00,6.00,0.00,32.00,2.00,0.00,175000.00,8596277.00,1344573.00,2803825.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,648421.00,5692104.00,336904.00,12878426.00,14303.00,237654.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,225482.00,47264.00,25331.00,64.00,0.00,0.00,27924.00,100.00,0.00,0.00,0.00,0.00,17752.00,130.00,5328.00,50.73,0.00,0.00,26999.00,114.00,0.00,0.00,885.00,2.70,0.00,39301.00,864.00,42.00,2.00,0.00,0.09,No,1732902.00,45.44,830087.00,198284.00,229954.00,578290.00,1. Full service – Contracted,No,405548.00,14.80
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,NORTH WEST COMMISSIONING REGION,ACUTE - TEACHING,R0A47,DERMOTT MURPHY CLOSE - LONG STAY UNIT,8. Other inpatient,1. Freehold,,M20 1FQ,0.00,0.00,0.00,0.00,0.00,0.00,Not Applicable,0.00,0.00,0.00,0.00,4890.00,1717.00,1717.00,100.00,4636.00,0.00,0.00,1717.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,9591.00,74759.00,10061.00,384162.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10200.00,1931.00,46.00,0.11,4593.00,15.57,0.00,0.00,0.00,0.00,0.00,0.00,424.00,3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.00,0.65,0.00,0.00,14.00,4.00,0.00,1.50,0.08,No,70774.00,4.28,92800.00,24090.00,21511.00,59558.00,1. Full service – Contracted,No,0.00,0.00
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,NORTH WEST COMMISSIONING REGION,ACUTE - TEACHING,R0A49,BUCCLEUCH LODGE,8. Other inpatient,1. Freehold,,M20 2XA,51428.00,55972.00,0.00,0.00,0.00,0.00,Not Applicable,59899.00,0.00,0.00,0.00,5451.00,1914.00,1914.00,100.00,5168.00,0.00,0.00,1914.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,17183.00,125037.00,19221.00,625425.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9335.00,2927.00,0.00,0.00,906.00,3.07,0.00,0.00,0.00,0.00,0.00,0.00,283.00,2.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.00,0.72,0.00,0.00,217.00,0.00,0.00,1.50,0.08,No,78894.00,2.88,62442.00,15330.00,7699.00,28571.00,1. Full service – Contracted,No,34068.00,1.00
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,NORTH WEST COMMISSIONING REGION,ACUTE - TEACHING,R0AORS,OTHER REPORTABLE SITES,Other Reportable Site,,,M13 9WL,792688.00,880834.00,0.00,1297270.00,0.00,4645.00,0.00,1279064.00,18002.00,184544.00,240532.00,1156909.00,65235.00,47856.00,100.00,127759.00,Not Applicable,Not Applicable,27115.00,20741.00,0.00,32.00,0.00,5459.00,0.00,50.00,481.00,0.00,0.00,0.00,0.00,0.00,0.54,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,497120.00,4241658.00,161367.00,4023296.00,417.00,6923.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5285.00,178953.00,27302.00,4796.00,1039.75,16576.00,40.75,11004.00,38.01,0.00,0.00,356.00,2.00,45467.00,319.86,0.00,0.00,0.00,0.00,17498.00,102.00,0.00,0.00,488.00,5.38,6896.00,39948.00,309.00,30.00,4.00,1.50,0.09,No,1318454.00,21.37,0.00,0.00,66275.00,129299.00,1. Full service – Contracted,No,367858.00,15.63
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MIDLANDS COMMISSIONING REGION,COMMUNITY,R1A1P,EVESHAM COMMUNITY HOSPITAL,7. Community hospital (with inpatient beds),1. Freehold,,WR11 1JT,398311.00,0.00,0.00,83998.00,0.00,0.00,Not Applicable,274245.00,10012.00,51582.00,13836.00,55103.00,9009.00,8821.00,100.00,25910.00,3.07,0.00,5492.00,3329.00,0.00,0.00,0.00,73.00,0.00,62.00,307.00,111.00,0.00,0.00,14.35,65.95,2.01,9.30,5.00,14.00,0.00,0.00,1978809.00,1997373.00,1627385.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,62531.00,379859.00,80214.00,2293515.00,0.00,0.00,0.00,0.00,0.00,0.00,15202.00,92351.00,17879.00,108614.00,0.00,0.00,0.00,0.00,14758.00,7707.00,11307.00,9.24,0.00,0.00,12713.00,28.76,0.00,0.00,0.00,0.00,5236.00,33.84,0.00,0.00,0.00,0.00,13636.00,87.09,0.00,0.00,602.00,0.56,0.00,45840.00,257.00,13.00,0.00,1.16,0.00,Yes,434409.00,16.83,333650.00,60033.00,62459.00,146774.00,3. Hybrid,No,224098.00,6.20
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MIDLANDS COMMISSIONING REGION,COMMUNITY,R1A22,KEITH WINTER CLOSE MH UNIT,4. Mental Health (including Specialist services),1. Freehold,,B61 0EX,49007.00,0.00,0.00,1560.00,0.00,0.00,Not Applicable,52781.00,5687.00,2273.00,1778.00,0.00,697.00,697.00,100.00,1638.00,0.74,0.00,617.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.80,41.80,0.00,0.00,0.00,15.00,0.00,0.00,0.00,36974.00,32971.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5133.00,33827.00,5306.00,163215.00,0.00,0.00,0.00,0.00,0.00,0.00,1248.00,8224.00,1468.00,9672.00,0.00,0.00,0.00,0.00,2241.00,1076.00,227.00,0.59,0.00,0.00,138.00,0.56,0.00,0.00,0.00,0.00,1090.00,3.23,0.00,0.00,0.00,0.00,596.00,3.14,0.00,0.00,0.00,0.00,0.00,0.00,15.00,1.00,0.00,0.00,0.00,No,47806.00,1.63,24569.00,15604.00,0.00,0.00,4. No service,Not Applicable,0.00,0.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MIDLANDS COMMISSIONING REGION,COMMUNITY,R1A49,HILL CREST MH UNIT,4. Mental Health (including Specialist services),1. Freehold,,B98 7WG,203976.00,0.00,0.00,17040.00,0.00,0.00,Not Applicable,100642.00,5837.00,4117.00,3659.00,4434.00,2295.00,2295.00,100.00,5393.00,0.00,0.00,1883.00,412.00,0.00,0.00,0.00,65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,6.46,4.00,21.00,0.00,0.00,0.00,350.00,49769.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8448.00,34284.00,87.00,395322.00,0.00,0.00,0.00,0.00,0.00,0.00,35117.00,142522.00,5750.00,23337.00,0.00,0.00,0.00,29225.00,9202.00,3304.00,366.00,0.54,0.00,0.00,632.00,1.12,0.00,0.00,0.00,0.00,3244.00,4.52,0.00,0.00,0.00,0.00,2462.00,8.80,0.00,0.00,0.00,0.00,0.00,0.00,40.00,4.00,0.00,0.00,0.00,No,123484.00,3.57,148674.00,27276.00,6252.00,14692.00,3. Hybrid,No,0.00,0.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MIDLANDS COMMISSIONING REGION,COMMUNITY,R1AAN,TENBURY COMMUNITY HOSPITAL,7. Community hospital (with inpatient beds),1. Freehold,,WR15 8AF,116222.00,0.00,0.00,24296.00,0.00,6647.00,Not Applicable,65603.00,6144.00,10292.00,2109.00,4585.00,1919.00,1919.00,100.00,4510.00,0.57,0.00,1321.00,598.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,6.00,8.00,0.00,6.91,3.00,0.00,0.00,0.00,4500.00,232791.00,133585.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,21286.00,120498.00,25540.00,710565.00,0.00,0.00,0.00,0.00,0.00,0.00,5175.00,29296.00,6087.00,34454.00,0.00,0.00,0.00,0.00,6143.00,438.00,2570.00,1.60,0.00,0.00,2450.00,6.21,0.00,0.00,0.00,0.00,1287.00,2.47,0.00,0.00,0.00,0.00,1649.00,2.88,0.00,0.00,0.00,0.00,0.00,0.00,50.00,5.00,0.00,0.00,0.00,No,100689.00,4.10,128659.00,18267.00,16178.00,38016.00,3. Hybrid,No,0.00,0.00
