trust_code,site_code,year,trust_name,trust_type,site_name,site_type,area_occupied_m2,volume_heated_m3,area_patient_m2,area_nonpatient_m2,consumed_gas_kwh,consumed_oil_kwh,consumed_coal_kwh,consumed_electricity_green_kwh,consumed_fuel_green_kwh,water_total_m3,waste_incineration_tonnes,waste_alternative_tonnes,waste_landfill_tonnes,waste_eee_tonnes,waste_recycling_tonnes,consumed_electricity_total_kwh,produced_electricity_green_kwh,waste_onsite_tonnes,waste_total_tonnes,occupied_area_m2,waste_total_index,waste_recycling_index,electricity_index,gas_index_vol,electricity_green_index
R0A,R0A01,2018-01-01,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,ISLAND SITE,GENERAL ACUTE HOSPITAL,206153.0,523217.0,134000.0,72153.0,91897250.0,647991.0,0.0,0.0,0.0,314762.0,408.18,1648.81,1215.47,,427.78,52550565.0,0.0,,3700.24,206153.0,0.01794899904439906,0.002075060755846386,254.91050336400633,175.63888405766633,0.0
R0A,R0A01,2019-01-01,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,ISLAND SITE,GENERAL ACUTE HOSPITAL,206153.0,523216.0,133157.0,71312.0,87379819.0,542700.0,0.0,0.0,0.0,325351.0,1767.8,613.21,0.0,72.0,461.0,53671665.0,0.0,0.0,2842.01,204469.0,0.013899466422782917,0.0022546205048198016,262.49292068724355,167.00525022170575,0.0
R0A,R0A01,2020-01-01,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,ISLAND SITE,GENERAL ACUTE HOSPITAL,292119.0,823776.0,130449.0,82333.0,88643074.0,280800.0,0.0,0.0,0.0,346342.0,1896.6799999999998,641.63,0.0,,133.85,53112641.0,0.0,0.0,2672.16,212782.0,0.012558205111334604,0.0006290475698132361,249.61059206135857,107.60579817814552,0.0
R0A,R0A01,2021-01-01,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,ISLAND SITE,GENERAL ACUTE HOSPITAL,292119.0,823776.0,130449.0,82333.0,81656161.0,951087.0,0.0,51946318.0,0.0,270540.0,1692.71,825.9,0.0,,192.52,0.0,0.0,0.0,2711.13,212782.0,0.012741350302187215,0.0009047757799061951,0.0,99.12422915938313,244.12928725174123
R0A,R0A07,2018-01-01,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,WYTHENSHAWE HOSPITAL,GENERAL ACUTE HOSPITAL,122707.0,269699.0,76973.0,45734.0,30774838.0,0.0,0.0,0.0,9999550.0,200882.0,97.85,1544.1,0.0,,160.88,19469524.0,67805.0,,1802.83,122707.0,0.014692152851915538,0.0013110906468253645,158.666775326591,114.10809087167546,0.0
R0A,R0A07,2019-01-01,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,WYTHENSHAWE HOSPITAL,GENERAL ACUTE HOSPITAL,124998.0,275886.0,79164.0,45633.0,33617769.0,75600.0,0.0,0.0,0.0,198596.0,26.0,900.72,0.0,51.02,751.98,21096738.0,76766.0,0.0,1678.7,124797.0,0.013451445146918596,0.006025625616000385,169.04843866439097,121.85384180422348,0.0
R0A,R0A07,2020-01-01,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,WYTHENSHAWE HOSPITAL,GENERAL ACUTE HOSPITAL,123748.02,275886.0,79165.0,45632.0,39334764.0,32400.0,0.0,0.0,0.0,190297.0,793.47,895.15,0.0,,66.88,20770373.0,90927.0,0.0,1755.5,124797.0,0.014066844555558226,0.0005359103183570118,166.4332716331322,142.5761510188991,0.0
R0A,R0A07,2021-01-01,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,WYTHENSHAWE HOSPITAL,GENERAL ACUTE HOSPITAL,123748.02,275886.0,79165.0,45632.0,48012672.0,34528.0,0.0,11681197.0,0.0,169544.0,673.51,802.03,0.0,,131.59,0.0,81631.0,0.0,1607.1299999999999,124797.0,0.012877953796966272,0.0010544323982147007,0.0,174.03083882473194,93.60158497399777
R0A,R0A09,2018-01-01,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,TRAFFORD GENERAL HOSPITAL,GENERAL ACUTE HOSPITAL,55273.0,140283.0,33164.0,22109.0,15003559.0,21877.0,0.0,0.0,0.0,53191.0,197.18,185.9,0.82,,130.81,5841726.0,0.0,,514.71,55273.0,0.009312141551933132,0.002366616612089085,105.68860022072259,106.95208257593579,0.0
R0A,R0A09,2019-01-01,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,TRAFFORD GENERAL HOSPITAL,GENERAL ACUTE HOSPITAL,51211.0,129974.0,33287.0,17924.0,12878426.0,237654.0,0.0,0.0,0.0,47264.0,178.0,0.0,0.0,2.7,130.0,5692104.0,0.0,0.0,308.0,51211.0,0.006014332858175001,0.002538517115463475,111.15002636152389,99.0846323110776,0.0
R0A,R0A09,2020-01-01,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,TRAFFORD GENERAL HOSPITAL,GENERAL ACUTE HOSPITAL,46818.0,132027.0,33164.0,13654.0,12214869.0,29376.0,0.0,0.0,0.0,52024.0,118.72,59.0,0.0,,46.47,5670572.0,0.0,0.0,224.19,46818.0,0.004788542868127643,0.0009925669614250928,121.119483959161,92.51796223499738,0.0
R0A,R0A09,2021-01-01,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,TRAFFORD GENERAL HOSPITAL,GENERAL ACUTE HOSPITAL,46818.0,132027.0,33164.0,13654.0,14094931.0,11161.0,0.0,4883742.0,0.0,39048.0,119.3,80.46,0.0,,60.45,0.0,0.0,0.0,260.21,46818.0,0.0055579050792430255,0.0012911700627963605,0.0,106.7579434509608,104.31334102268359
R0A,R0A47,2018-01-01,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,DERMOTT MURPHY CLOSE - LONG STAY UNIT,OTHER INPATIENT,1717.0,4636.0,1717.0,0.0,420812.0,0.0,0.0,0.0,0.0,2157.0,0.37,186.27,0.0,,0.0,85745.0,0.0,,186.64000000000001,1717.0,0.10870122306348283,0.0,49.93884682585906,90.77049180327869,0.0
R0A,R0A47,2019-01-01,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,DERMOTT MURPHY CLOSE - LONG STAY UNIT,OTHER INPATIENT,1717.0,4636.0,1717.0,0.0,384162.0,0.0,0.0,0.0,0.0,1931.0,0.11,15.57,0.0,0.65,3.12,74759.0,0.0,0.0,18.8,1717.0,0.010949330227140362,0.0018171228887594643,43.54047757716948,82.86496980155306,0.0
R0A,R0A47,2020-01-01,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,DERMOTT MURPHY CLOSE - LONG STAY UNIT,OTHER INPATIENT,1717.0,4636.0,1717.0,0.0,403298.0,0.0,0.0,0.0,0.0,1798.0,14.67,15.32,0.0,,0.0,81947.0,0.0,0.0,29.990000000000002,1717.0,0.017466511357018055,0.0,47.726849155503785,86.99266609145815,0.0
R0A,R0A47,2021-01-01,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,DERMOTT MURPHY CLOSE - LONG STAY UNIT,OTHER INPATIENT,1717.0,4636.0,1717.0,0.0,415485.0,0.0,0.0,93578.0,0.0,1741.0,10.34,14.69,0.0,,1.82,0.0,0.0,0.0,26.85,1717.0,0.0156377402446127,0.0010599883517763541,0.0,89.62144089732529,54.50087361677344
R0A,R0A49,2018-01-01,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,BUCCLEUCH LODGE,OTHER INPATIENT,1914.0,5168.0,1914.0,0.0,671664.0,0.0,0.0,0.0,0.0,1940.0,0.25,60.27,0.0,,0.0,118263.0,0.0,,60.52,1914.0,0.031619644723093,0.0,61.788401253918494,129.96594427244582,0.0
R0A,R0A49,2019-01-01,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,BUCCLEUCH LODGE,OTHER INPATIENT,1914.0,5168.0,1914.0,0.0,625425.0,0.0,0.0,0.0,0.0,2927.0,0.0,3.07,0.0,0.72,2.08,125037.0,0.0,0.0,5.15,1914.0,0.0026907001044932082,0.0010867293625914315,65.32758620689656,121.0187693498452,0.0
R0A,R0A49,2020-01-01,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,BUCCLEUCH LODGE,OTHER INPATIENT,1914.0,5168.0,1914.0,0.0,602246.0,0.0,0.0,0.0,0.0,4463.0,3.42,1.2,0.0,,0.0,119475.0,0.0,0.0,4.62,1914.0,0.002413793103448276,0.0,62.421630094043884,116.53366873065015,0.0
R0A,R0A49,2021-01-01,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,BUCCLEUCH LODGE,OTHER INPATIENT,1914.0,5168.0,1914.0,0.0,484500.0,0.0,0.0,111522.0,0.0,1668.0,7.59,4.21,0.0,,0.0,0.0,0.0,0.0,11.8,1914.0,0.006165099268547545,0.0,0.0,93.75,58.26645768025078
R0B,R0B01,2020-01-01,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST ,ACUTE - LARGE,SUNDERLAND ROYAL HOSPITAL,GENERAL ACUTE HOSPITAL,123730.2066,305451.0,96922.0,26927.0,45213852.0,152134.0,0.0,0.0,0.0,195746.0,324.43,74.0,0.0,,453.0,7917626.0,0.0,0.0,851.4300000000001,123849.0,0.0068747426301383145,0.0036576799166727226,63.92967242367722,148.02325741280924,0.0
R0B,R0B01,2021-01-01,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST ,ACUTE - LARGE,SUNDERLAND ROYAL HOSPITAL,GENERAL ACUTE HOSPITAL,125398.0,305451.0,96922.0,26927.0,51888460.0,333293.0,0.0,4481244.0,0.0,174354.0,331.4,318.2,0.0,,329.0,0.0,0.0,0.0,978.5999999999999,123849.0,0.007901557541845312,0.0026564606900338315,0.0,169.87490628611462,36.18312622629169
R0B,R0B0Q,2020-01-01,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST ,ACUTE - LARGE,SOUTH TYNESIDE DISTRICT HOSPITAL,GENERAL ACUTE HOSPITAL,45682.2216,109445.0,25976.0,19707.0,25744420.0,528434.0,0.0,0.0,0.0,91110.0,256.2,69.63,0.0,,97.58,3437637.0,0.0,0.0,423.40999999999997,45683.0,0.009268436836459951,0.0021360243416588226,75.24980846266664,235.2270089999543,0.0
R0B,R0B0Q,2021-01-01,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST ,ACUTE - LARGE,SOUTH TYNESIDE DISTRICT HOSPITAL,GENERAL ACUTE HOSPITAL,53771.0,109445.0,25712.0,19545.0,27574665.0,173267.0,0.0,1863496.0,0.0,161525.0,206.68,162.87,0.0,,68.66,0.0,0.0,0.0,438.21000000000004,45257.0,0.009682701018626954,0.0015171133747265615,0.0,251.949974873224,41.17586229754513
