site_code,year,trust_code,trust_name,trust_type,site_name,site_type,area_occupied_m2,volume_heated_m3,area_patient_m2,area_nonpatient_m2,consumed_gas_kwh,consumed_oil_kwh,consumed_coal_kwh,consumed_electricity_green_kwh,consumed_fuel_green_kwh,water_total_m3,waste_incineration_tonnes,waste_alternative_tonnes,waste_landfill_tonnes,waste_eee_tonnes,waste_recycling_tonnes,consumed_electricity_total_kwh,produced_electricity_green_kwh,waste_onsite_tonnes,waste_total_tonnes,occupied_area_m2,waste_total_index,waste_recycling_index,electricity_index,gas_index_vol,electricity_green_index
R1A22,2016-01-01,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,KEITH WINTER CLOSE MH UNIT,MENTAL HEALTH,697.0,1638.0,591.0,106.0,150787.0,0.0,0.0,0.0,0.0,541.0,0.0,1.585,1.5,,2.605,57660.0,,,5.6899999999999995,697.0,0.008163558106169297,0.0037374461979913917,82.72596843615494,92.05555555555556,0.0
R1A22,2017-01-01,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,KEITH WINTER CLOSE MH UNIT,MENTAL HEALTH,697.0,1638.0,591.0,106.0,166525.0,0.0,0.0,0.0,0.0,541.0,0.0,3.17,0.0,,3.21,50182.0,,,6.38,697.0,0.00915351506456241,0.00460545193687231,71.99713055954089,101.66361416361417,0.0
R1A22,2018-01-01,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,KEITH WINTER CLOSE MH UNIT,MENTAL HEALTH,697.0,1638.0,612.0,85.0,182967.0,0.0,0.0,472.0,9448.0,1208.0,0.87,3.33,0.0,,3.17,42569.0,0.0,,7.37,697.0,0.010573888091822095,0.0045480631276901004,61.074605451936876,111.7014652014652,0.6771879483500718
R1A22,2019-01-01,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,KEITH WINTER CLOSE MH UNIT,MENTAL HEALTH,697.0,1638.0,617.0,80.0,163215.0,0.0,0.0,8224.0,9672.0,1076.0,3.73,0.0,0.0,0.0,3.23,33827.0,0.0,0.0,6.96,697.0,0.009985652797704447,0.004634146341463414,48.53228120516499,99.64285714285714,11.799139167862267
R1A22,2020-01-01,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,KEITH WINTER CLOSE MH UNIT,MENTAL HEALTH,697.0,1638.0,617.0,80.0,178052.0,0.0,0.0,13106.0,0.0,1265.0,1.98,0.0,0.07,,1.84,36916.0,0.0,0.0,3.8899999999999997,697.0,0.005581061692969871,0.002639885222381636,52.964131994261116,108.7008547008547,18.803443328550934
R1A22,2021-01-01,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,KEITH WINTER CLOSE MH UNIT,MENTAL HEALTH,697.0,1638.0,617.0,80.0,181777.0,0.0,0.0,15068.0,0.0,1189.0,4.03,0.0,0.03,,3.46,34014.0,0.0,0.0,7.5200000000000005,697.0,0.010789096126255381,0.004964131994261119,48.80057388809182,110.97496947496947,21.618364418938306
R1A49,2016-01-01,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,HILL CREST MH UNIT,MENTAL HEALTH,2295.0,5393.0,1701.0,594.0,539274.0,0.0,0.0,0.0,0.0,1846.0,0.0,2.54,3.5,,7.99,228813.0,,,14.030000000000001,2295.0,0.0061132897603485845,0.0034814814814814817,99.70065359477124,99.99517893565734,0.0
R1A49,2017-01-01,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,HILL CREST MH UNIT,MENTAL HEALTH,2295.0,5393.0,1701.0,594.0,429543.0,0.0,0.0,0.0,0.0,1686.0,0.0,5.08,0.0,,10.98,251576.0,,,16.060000000000002,2295.0,0.006997821350762528,0.004784313725490197,109.61917211328976,79.64824772853699,0.0
R1A49,2018-01-01,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,HILL CREST MH UNIT,MENTAL HEALTH,2295.0,5393.0,1791.0,450.0,467478.0,0.0,0.0,157877.0,17861.0,1686.0,0.84,10.16,0.0,,4.94,29563.0,26744.0,,15.940000000000001,2241.0,0.007112896028558679,0.002204373047746542,13.191878625613565,86.68236603003893,70.44935296742526
R1A49,2019-01-01,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,HILL CREST MH UNIT,MENTAL HEALTH,2295.0,5393.0,1883.0,412.0,395322.0,0.0,0.0,142522.0,23337.0,3304.0,9.34,0.0,0.0,0.0,4.52,34284.0,29225.0,0.0,13.86,2295.0,0.006039215686274509,0.001969498910675381,14.938562091503268,73.30279992582977,62.101089324618734
