site_code,year,trust_code,trust_name,trust_type,site_name,site_type,area_occupied_m2,volume_heated_m3,area_patient_m2,area_nonpatient_m2,consumed_gas_kwh,consumed_oil_kwh,consumed_coal_kwh,consumed_electricity_green_kwh,consumed_fuel_green_kwh,water_total_m3,waste_incineration_tonnes,waste_alternative_tonnes,waste_landfill_tonnes,waste_eee_tonnes,waste_recycling_tonnes,consumed_electricity_total_kwh,produced_electricity_green_kwh,waste_onsite_tonnes,waste_total_tonnes,occupied_area_m2,waste_total_index,waste_recycling_index,electricity_index,gas_index_vol,electricity_green_index
R0A47,2018-01-01,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,DERMOTT MURPHY CLOSE - LONG STAY UNIT,OTHER INPATIENT,1717.0,4636.0,1717.0,0.0,420812.0,0.0,0.0,0.0,0.0,2157.0,0.37,186.27,0.0,,0.0,85745.0,0.0,,186.64000000000001,1717.0,0.10870122306348283,0.0,49.93884682585906,90.77049180327869,0.0
R0A47,2019-01-01,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,DERMOTT MURPHY CLOSE - LONG STAY UNIT,OTHER INPATIENT,1717.0,4636.0,1717.0,0.0,384162.0,0.0,0.0,0.0,0.0,1931.0,0.11,15.57,0.0,0.65,3.12,74759.0,0.0,0.0,18.8,1717.0,0.010949330227140362,0.0018171228887594643,43.54047757716948,82.86496980155306,0.0
R0A47,2020-01-01,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,DERMOTT MURPHY CLOSE - LONG STAY UNIT,OTHER INPATIENT,1717.0,4636.0,1717.0,0.0,403298.0,0.0,0.0,0.0,0.0,1798.0,14.67,15.32,0.0,,0.0,81947.0,0.0,0.0,29.990000000000002,1717.0,0.017466511357018055,0.0,47.726849155503785,86.99266609145815,0.0
R0A47,2021-01-01,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,DERMOTT MURPHY CLOSE - LONG STAY UNIT,OTHER INPATIENT,1717.0,4636.0,1717.0,0.0,415485.0,0.0,0.0,93578.0,0.0,1741.0,10.34,14.69,0.0,,1.82,0.0,0.0,0.0,26.85,1717.0,0.0156377402446127,0.0010599883517763541,0.0,89.62144089732529,54.50087361677344
R0A49,2018-01-01,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,BUCCLEUCH LODGE,OTHER INPATIENT,1914.0,5168.0,1914.0,0.0,671664.0,0.0,0.0,0.0,0.0,1940.0,0.25,60.27,0.0,,0.0,118263.0,0.0,,60.52,1914.0,0.031619644723093,0.0,61.788401253918494,129.96594427244582,0.0
R0A49,2019-01-01,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,BUCCLEUCH LODGE,OTHER INPATIENT,1914.0,5168.0,1914.0,0.0,625425.0,0.0,0.0,0.0,0.0,2927.0,0.0,3.07,0.0,0.72,2.08,125037.0,0.0,0.0,5.15,1914.0,0.0026907001044932082,0.0010867293625914315,65.32758620689656,121.0187693498452,0.0
R0A49,2020-01-01,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,BUCCLEUCH LODGE,OTHER INPATIENT,1914.0,5168.0,1914.0,0.0,602246.0,0.0,0.0,0.0,0.0,4463.0,3.42,1.2,0.0,,0.0,119475.0,0.0,0.0,4.62,1914.0,0.002413793103448276,0.0,62.421630094043884,116.53366873065015,0.0
R0A49,2021-01-01,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,BUCCLEUCH LODGE,OTHER INPATIENT,1914.0,5168.0,1914.0,0.0,484500.0,0.0,0.0,111522.0,0.0,1668.0,7.59,4.21,0.0,,0.0,0.0,0.0,0.0,11.8,1914.0,0.006165099268547545,0.0,0.0,93.75,58.26645768025078
R0B0U,2020-01-01,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST ,ACUTE - LARGE,ST BENEDICT'S HOSPICE (MONKWEARMOUTH HOSPITAL),OTHER INPATIENT,3193.0,7703.0,1886.0,1307.0,607247.0,8164.0,0.0,0.0,0.0,2690.0,16.97,0.36,0.0,,7.37,324847.0,50879.0,0.0,24.7,3193.0,0.007735671782023176,0.0023081741309113686,101.73723770748512,78.83253277943658,0.0
R0B0U,2021-01-01,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST ,ACUTE - LARGE,ST BENEDICT'S HOSPICE (MONKWEARMOUTH HOSPITAL),OTHER INPATIENT,3193.0,7703.0,1886.0,1307.0,603242.0,0.0,0.0,320961.0,0.0,1746.0,16.029999999999998,0.81,0.0,,6.6,0.0,43567.0,0.0,23.439999999999998,3193.0,0.007341058565612276,0.002067021609771375,0.0,78.31260547838504,100.52020043845913
R0D03,2021-01-01,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,ACUTE - TEACHING,CHRISTCHURCH HOSPITAL,OTHER INPATIENT,7866.0,18299.0,5867.0,1999.0,1316944.0,4598.0,0.0,0.0,0.0,4304.0,26.0,16.0,0.0,,9.0,555951.0,0.0,0.0,51.0,7866.0,0.0064836003051106025,0.0011441647597254005,70.67772692601068,71.9680856877425,0.0
R1A22,2012-01-01,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MENTAL HEALTH AND LEARNING DISABILITY,KEITH WINTER CLOSE MH UNIT,OTHER INPATIENT,699.0,1715.0,547.0,53.0,156835.0,0.0,0.0,36701.0,0.0,1101.0,0.28,0.0,3.38,0.0,1.46,6477.0,,,5.12,600.0,0.008533333333333334,0.0024333333333333334,10.795,91.44897959183673,61.16833333333334
R1A22,2013-01-01,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MENTAL HEALTH AND LEARNING DISABILITY,KEITH WINTER CLOSE MH UNIT,OTHER INPATIENT,699.0,1715.0,547.0,53.0,203043.0,0.0,0.0,0.0,0.0,1499.0,0.13,0.0,3.21,0.0,0.14,47874.0,,,3.48,600.0,0.0058,0.00023333333333333336,79.79,118.39241982507289,0.0
