site_code,year,trust_code,trust_name,trust_type,site_name,site_type,area_occupied_m2,volume_heated_m3,area_patient_m2,area_nonpatient_m2,consumed_gas_kwh,consumed_oil_kwh,consumed_coal_kwh,consumed_electricity_green_kwh,consumed_fuel_green_kwh,water_total_m3,waste_incineration_tonnes,waste_alternative_tonnes,waste_landfill_tonnes,waste_eee_tonnes,waste_recycling_tonnes,consumed_electricity_total_kwh,produced_electricity_green_kwh,waste_onsite_tonnes,waste_total_tonnes,occupied_area_m2,waste_total_index,waste_recycling_index,electricity_index,gas_index_vol,electricity_green_index
R0B0X,2020-01-01,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST ,ACUTE - LARGE,SUNDERLAND EYE INFIRMARY,SPECIALIST ACUTE HOSPITAL,7122.0,20708.0,5228.0,1894.0,2679600.0,0.0,0.0,0.0,0.0,7291.0,17.72,3.9,0.0,,24.01,538114.0,0.0,0.0,45.629999999999995,7122.0,0.006406908171861836,0.0033712440325751195,75.5565852288683,129.3992659841607,0.0
R0B0X,2021-01-01,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST ,ACUTE - LARGE,SUNDERLAND EYE INFIRMARY,SPECIALIST ACUTE HOSPITAL,7122.0,20708.0,5228.0,1894.0,2805143.0,0.0,0.0,518144.0,0.0,5986.0,8.56,16.0,0.0,,0.0,0.0,0.0,0.0,24.560000000000002,7122.0,0.0034484695310306097,0.0,0.0,135.46180220204752,72.75259758494805
R1HM0,2021-01-01,R1H,BARTS HEALTH NHS TRUST,ACUTE - TEACHING,ST BATHOLOMEWS HOSPITAL,SPECIALIST ACUTE HOSPITAL,82733.0,230529.0,50187.0,26390.0,43908840.0,0.0,0.0,2400404.0,0.0,94245.0,133.0,223.0,0.0,,616.0,9308885.0,0.0,0.0,972.0,76577.0,0.012693106285177011,0.00804419081447432,121.56241430194444,190.4699191858725,31.34627890881074
RA701,2020-01-01,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ACUTE - TEACHING,BRISTOL ROYAL INFIRMARY,SPECIALIST ACUTE HOSPITAL,182884.0,681055.0,111150.0,69523.0,56625012.0,1143487.0,0.0,26186210.0,0.0,219440.0,312.81,599.66,1017.26,,364.68,0.0,0.0,0.0,2294.41,180673.0,0.012699241170512472,0.0020184532276543814,0.0,83.1430824235928,144.93704095243893
RAN01,2011-01-01,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ACUTE - SPECIALIST,THE ROYAL NATIONAL ORTHOPAEDIC HOSPITAL (STANMORE),SPECIALIST ACUTE HOSPITAL,34579.0,114111.0,18451.0,15371.0,21689158.0,43253.0,0.0,0.0,0.0,70799.0,11.99,149.17,149.17,1.16,27.929699999999997,6182832.0,,,338.25969999999995,33822.0,0.010001173792206254,0.0008257849920170302,182.80503814085506,190.07070308734478,0.0
RAN01,2012-01-01,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ACUTE - SPECIALIST,THE ROYAL NATIONAL ORTHOPAEDIC HOSPITAL (STANMORE),SPECIALIST ACUTE HOSPITAL,34579.0,114111.0,18451.0,15371.0,19200064.0,35142.0,0.0,0.0,0.0,76361.0,11.0,155.0,266.34,0.0,92.0,6359592.0,,,524.3399999999999,33822.0,0.01550292708887706,0.0027201229968659454,188.03122228135533,168.25778408742366,0.0
RAN01,2013-01-01,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ACUTE - SPECIALIST,THE ROYAL NATIONAL ORTHOPAEDIC HOSPITAL (STANMORE),SPECIALIST ACUTE HOSPITAL,34579.0,114111.0,18451.0,15371.0,21546946.0,58380.0,0.0,0.0,0.0,71703.0,11.0,169.0,242.0,0.0,111.0,6426989.0,,,533.0,33822.0,0.015758973449234225,0.0032818875288273906,190.02391934243983,188.82444286703299,0.0
RAN01,2014-01-01,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ACUTE - SPECIALIST,THE ROYAL NATIONAL ORTHOPAEDIC HOSPITAL (STANMORE),SPECIALIST ACUTE HOSPITAL,34579.0,114111.0,18451.0,15371.0,19874926.0,122792.0,0.0,0.0,0.0,71561.0,14.49,199.0,254.85,0.0,21.32,6884713.0,,,489.66,33822.0,0.014477558985275857,0.0006303589379693691,203.55724084915144,174.17186774281183,0.0
RAN01,2015-01-01,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ACUTE - SPECIALIST,THE ROYAL NATIONAL ORTHOPAEDIC HOSPITAL (STANMORE),SPECIALIST ACUTE HOSPITAL,34579.0,114111.0,18451.0,15371.0,17569788.0,201442.0,0.0,0.0,0.0,79838.0,13.9,173.84,279.09,3.0,17.72,7455209.0,,,484.54999999999995,33822.0,0.01432647389273254,0.000523919342439832,220.42484181893442,153.97102820937508,0.0
RAN01,2016-01-01,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ACUTE - SPECIALIST,THE ROYAL NATIONAL ORTHOPAEDIC HOSPITAL (STANMORE),SPECIALIST ACUTE HOSPITAL,34579.0,114111.0,18451.0,15371.0,19304965.0,118977.0,0.0,0.0,0.0,77732.0,112.23,158.31,160.7,,49.2,6636037.0,,,480.44,33822.0,0.014204955354502986,0.0014546744722370056,196.2047483886228,169.1770732006555,0.0
RAN01,2017-01-01,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ACUTE - SPECIALIST,THE ROYAL NATIONAL ORTHOPAEDIC HOSPITAL (STANMORE),SPECIALIST ACUTE HOSPITAL,44098.0,141141.0,25621.0,17761.0,18936637.0,823689.0,0.0,0.0,0.0,70648.0,210.56,142.78,42.31,,80.68,7126407.0,,,476.33000000000004,43382.0,0.010979899497487438,0.00185975750311189,164.27105712046472,134.16822184907292,0.0
RAN01,2018-01-01,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ACUTE - SPECIALIST,THE ROYAL NATIONAL ORTHOPAEDIC HOSPITAL (STANMORE),SPECIALIST ACUTE HOSPITAL,44098.0,141141.0,25621.0,18477.0,18823325.0,57563.0,0.0,0.0,0.0,72478.0,173.22,127.33,39.53,,101.6,7075952.0,0.0,,441.68000000000006,44098.0,0.010015873735770332,0.002303959363236428,160.45970338790875,133.36539347177646,0.0
RAN01,2019-01-01,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ACUTE - SPECIALIST,THE ROYAL NATIONAL ORTHOPAEDIC HOSPITAL (STANMORE),SPECIALIST ACUTE HOSPITAL,48554.0,169211.0,28644.0,19910.0,19202766.0,0.0,0.0,0.0,0.0,67890.0,167.19,95.23,0.0,2.15,65.82,7222237.0,0.0,0.0,328.24,48554.0,0.006760308110557318,0.0013556040696955966,148.7464884458541,113.4841470117191,0.0
RAN01,2020-01-01,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ACUTE - SPECIALIST,THE ROYAL NATIONAL ORTHOPAEDIC HOSPITAL (STANMORE),SPECIALIST ACUTE HOSPITAL,51867.030000000006,169211.0,28644.0,19757.0,19314195.0,0.0,0.0,0.0,0.0,67569.0,273.48,9.66,0.0,,103.42,7148455.0,13703.0,0.0,386.56000000000006,48401.0,0.00798661184686267,0.0021367327121340467,147.69229974587302,114.14266802985621,0.0
RAN01,2021-01-01,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ACUTE - SPECIALIST,THE ROYAL NATIONAL ORTHOPAEDIC HOSPITAL (STANMORE),SPECIALIST ACUTE HOSPITAL,51867.030000000006,169211.0,28644.0,19757.0,18925771.0,64390.0,0.0,0.0,0.0,51390.0,119.21,137.83,0.0,,42.32,6099193.0,12467.0,0.0,299.36,48401.0,0.0061849961777649225,0.0008743620999566125,126.01378070701018,111.84716714634392,0.0
RATRK,2015-01-01,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,BROOKSIDE,SPECIALIST ACUTE HOSPITAL,1934.0,3997.0,1534.0,400.0,414153.0,0.0,0.0,168249.0,0.0,3865.0,0.07,0.65,16.15,0.0,0.0,0.0,,,16.869999999999997,1934.0,0.008722854188210961,0.0,0.0,103.61596197147861,86.99534643226474
RATRK,2016-01-01,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,BROOKSIDE,SPECIALIST ACUTE HOSPITAL,1934.0,3997.0,1534.0,400.0,437456.0,0.0,0.0,0.0,0.0,4014.0,0.035,0.575,13.915,,0.975,0.0,,,15.499999999999998,1934.0,0.008014477766287486,0.0005041365046535677,0.0,109.44608456342257,0.0
RATZZ,2017-01-01,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,AINSLIE REHABILITATION UNIT,SPECIALIST ACUTE HOSPITAL,1933.0,4638.0,1273.0,660.0,169981.0,0.0,0.0,0.0,0.0,3016.0,0.0,2.6,41.71,,2.19,191781.0,,,46.5,1933.0,0.02405587170201759,0.0011329539575788928,99.2141748577341,36.64963346269944,0.0
RATZZ,2019-01-01,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,AINSLIE REHABILITATION UNIT,SPECIALIST ACUTE HOSPITAL,1613.0,4638.0,1224.0,389.0,103.0,0.0,0.0,0.0,0.0,10673.0,2097.0,0.0,26.34,0.0,1563.0,192.0,0.0,,3686.34,1613.0,2.2853936763794174,0.9690018598884067,0.11903285802851829,0.022207848210435532,0.0
RBN01,2020-01-01,RBN,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,ACUTE - MEDIUM,WHISTON HOSPITAL,SPECIALIST ACUTE HOSPITAL,92594.6859,255107.0,66446.0,25840.0,38661752.0,140000.0,0.0,0.0,0.0,114907.0,412.14000000000004,265.14,43.99,,583.38,7836950.0,0.0,0.0,1304.65,92286.0,0.014137030535509179,0.0063214355373512774,84.92024792492903,151.55112168619442,0.0
RBN01,2021-01-01,RBN,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,ACUTE - TEACHING,WHISTON HOSPITAL,SPECIALIST ACUTE HOSPITAL,94756.4352,260219.0,69509.0,25840.0,38383200.0,175360.0,0.0,0.0,0.0,106026.0,316.26,387.75,52.88,,467.43,8409842.0,0.0,0.0,1224.32,95349.0,0.012840407345645994,0.004902306264355159,88.20063136477572,147.5034490179426,0.0
RBN02,2020-01-01,RBN,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,ACUTE - MEDIUM,ST HELENS HOSPITAL,SPECIALIST ACUTE HOSPITAL,32206.5504,94794.0,25474.0,6871.0,7150203.0,39200.0,0.0,0.0,0.0,28081.0,69.71000000000001,32.97,7.42,,182.5,5319522.0,0.0,0.0,292.6,32345.0,0.009046220435925182,0.005642294017622508,164.46195702581542,75.42885625672511,0.0
RBN02,2021-01-01,RBN,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,ACUTE - TEACHING,ST HELENS HOSPITAL,SPECIALIST ACUTE HOSPITAL,32206.5504,94794.0,25474.0,6871.0,8321777.0,60499.0,0.0,0.0,0.0,25645.0,30.55,66.37,15.63,,154.05,5312757.0,0.0,0.0,266.6,32345.0,0.008242386767661154,0.004762714484464369,164.25280568866904,87.78801400932548,0.0
RBQHQ,2011-01-01,RBQ,LIVERPOOL HEART AND CHEST NHS FOUNDATION TRUST,ACUTE - SPECIALIST,THE CARDIOTHORACIC CENTRE,SPECIALIST ACUTE HOSPITAL,30096.0,70238.0,15144.0,14970.0,5920587.0,0.0,0.0,0.0,0.0,43691.0,102.0,131.0,156.0,1.05,60.13940000000001,6100638.0,,,449.1394,30114.0,0.0149146377100352,0.001997057846848642,202.58477784419208,84.29321734673539,0.0
